Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0||
RICHBOOST_vidCond_Act_OvbPerfo|A|();|FCT2.2|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|L’activation de la demande d’overboost/perfo est demandée sur 2 conditions : la condition de couple max sans overboost atteint et la condition de position pédale atteinte.|
RICHBOOST_vidCond_act_Richesse|A|();|FCT1.4|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|L’activation de la demande d’enrichissement est demandée sur 3 conditions : la  condition de couple max atteinte, la condition de position pédale atteinte, la condition de température d’eau atteinte.|
RICHBOOST_vidCond_Reset_Enrich|A|();|FCT1.7|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|Ce bloc présente les conditions de set/reset de la fonction.|
RICHBOOST_vidCondition_Reset|A|();|FCT2.4|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|Ce bloc présente les conditions de se/reset de la fonction.|
RICHBOOST_vidDemandePerfoOverbst|A|();|FCT1.2|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|La fonction se décompose en 2 sous fonctions : une sous fonction de gestion de la demande d’enrichissement et une sous fonction de gestion de la demande du mode performance du moteur.|
RICHBOOST_vidEntry_10ms|A|();|SCH.2|RICHBOOST|1|V02 NT 10 06088||||0|0|0|0|Schéduling de la fonction (10ms).|
RICHBOOST_vidEntryInit|C|();|SCH.1|RICHBOOST|1|V02 NT 10 06088||||0|0|0|0|Fonction d'accroche au moniteur Reset.|
RICHBOOST_vidInitOutput|C|();|FCT1.1|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|Initialisation des sorties.|
RICHBOOST_vidSyn_Bes_Act_Enrich|A|();|FCT1.3|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|La fonction se décompose en 3 étapes: l’activation de la demande sur conditions « conducteur », temporisation de cette demande sur des conditions particulières de roulage et coordination de la demande finale avec des conditions de RESET.|
RICHBOOST_vidSyn_Bes_Act_Ovboost|A|();|FCT2.1|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|La fonction se décompose en 3 étapes : l’activation de la demande sur conditions « conducteur », temporisation de cette demande sur des conditions particulières de roulage et coordination de la demande finale avec des conditions de RESET|
RICHBOOST_vidSyn_tempo_bes_enrch|C|();|FCT1.6|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|La demande d’enrichissement est temporisée en fonction du régime. Mais s’il y a une demande spécifique on peut la temporiser sur un autre temps spécifique.|
RICHBOOST_vidTempo_glob_hors_LVV|C|();|FCT1.5|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|Le calcul du retard à appliquer peut être spécifique pour des besoins de performances.|
RICHBOOST_vidTemporisations|A|();|FCT2.3|RICHBOOST|0|V02 NT 10 06088||||0|0|0|0|La demande d’overboost/perfo est temporisée en fonction du régime. Mais s’il y a une demande spécifique on peut la temporiser sur un autre temps spécifique. On calcule également un temps de désactivation pour gérer « l’agrément » en sortie du mode perfo.|
