Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
SftyMgt_SdlMid_tqAuxSumLoss|B|();|SCH.2|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|SftyMgt_SdlMid_tqAuxSumLoss|
SftyMgt_SdlMid_tqCkEngLossAdp|B|();|SCH.4|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|SftyMgt_SdlMid_tqCkEngLossAdp|
SftyMgt_SdlMid_tqCkFricLoss|B|();|SCH.3|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|SftyMgt_SdlMid_tqCkFricLoss|
SftyMgt_SdlMid_tqCnvLoss|B|();|SCH.5|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|SftyMgt_SdlMid_tqCnvLoss|
SftyMgt_SdlMid_tqSumLossCmp|B|();|SCH.7|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|SftyMgt_SdlMid_tqSumLossCmp|
SftyMgt_SdlMid_tqSumLossCord|B|();|SCH.6|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|SftyMgt_SdlMid_tqSumLossCord|
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0||
TQLOSSMON_vidCalculer_Couple|B|();|FCT2.7|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de convertir la puissance en couple via une cartographie fonction du régime moteur et de la puissance filtrée.|
TQLOSSMON_vidChoisir_Type_Clim|A|();|FCT2.5|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction retient le signal correspondant au type de clim du véhicule.|
TQLOSSMON_vidConvertir_P_Couple|A|();|FCT2.4|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction se décompose en trois sous fonctions  : Sélectionner le type de clim, Filtrer le signal, Déterminer le couple prélevé|
TQLOSSMON_vidCoord_Pertes_Access|B|();|FCT3.9|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction somme les contributions des différents blocs de pertes accessoires.|
TQLOSSMON_vidCoordonner_pertes|A|();|FCT5.7|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction somme les contributions des différentes sous fonctions de calcul des pertes.|
TQLOSSMON_vidDet_Adaptatif_Perte|A|();|FCT4.7|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de valider l’adaptation des pertes réal isée par l’ACS. Pour être accepté, le couple de recalage doit être inférieur à un seuil calibrable.|
TQLOSSMON_vidDet_Coef_Filtre|A|();|FCT5.4|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de déterminer l e coefficient de filtrage du couple en fonction du régime moteur et de l’estimation du couple prélevé.|
TQLOSSMON_vidDet_Consigne_Couple|A|();|FCT5.3|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|La valeur max du couple prélevé par le convertisseur est pondérée par la vitesse.|
TQLOSSMON_vidDet_Demande_Altern|A|();|FCT1.5|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de déterminer le couple maximum que l’alternateur peut demander. Ce couple maximum dépend du type d’alternateur.|
TQLOSSMON_vidDet_P_Conso_Type3|B|();|FCT2.2|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Le calcul de la puissance prélevée par la clim de type 3 se compose de deux modules : le couple de base et le couple à l’enclenchement.|
TQLOSSMON_vidDet_P_Conso_Type4|A|();|FCT2.3|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Ne redondant pas le booléen d’embrayage du compresseur de clim les filtrages ne peuvent être pris en compte. Pour cette raison la puissance sortant de cette fonction est la puissance maximale autorisée.|
TQLOSSMON_vidDet_Pertes_Access|B|();|FCT1.2|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction détermine les prélèvements de couple des accessoires. Elle est composée de 4 sous fonctions|
TQLOSSMON_vidDet_Pertes_Altern|A|();|FCT1.3|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de valider l’estimation du couple prélevé par l’alternateur.|
TQLOSSMON_vidDet_Pertes_BVA|A|();|FCT5.1|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction calcule une enveloppe max des pertes BVA.|
TQLOSSMON_vidDet_Pertes_BVM|A|();|FCT3.8|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction fait la synthèse des levées de défauts et valide le couple final des pertes.|
TQLOSSMON_vidDet_Pertes_Clim|A|();|FCT2.1|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Le calcul qui permet de déterminer le couple prélevé par la climatisation est composé de deux étapes|
TQLOSSMON_vidDet_Pertes_DA|A|();|FCT3.1|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet  de valider que le couple prélevée calculé par l’ACS est inférieur au couple maximal que peut demander la DA raffiné en fonction de la vitesse et du régime.|
TQLOSSMON_vidDet_Pertes_DA_Lin|A|();|FCT3.4|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette sous fonction permet de déterminer l’enveloppe max de la DA de type linéaire.|
TQLOSSMON_vidDet_Pertes_DA_OnOff|A|();|FCT3.3|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette sous fonction détermine l’enveloppe max de la DA de type On-Off principalement en fonction du régime moteur.|
TQLOSSMON_vidDet_Pertes_Max_Dem|B|();|FCT4.4|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Les pertes au démarrage sont ajoutées pendant une courte durée après le démarrage. L’enveloppe max est calculée pendant cette durée et une fois le temps écoulé, elle est égale à zéro.|
TQLOSSMON_vidDet_Pertes_Max_Fric|A|();|FCT4.2|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Pour affiner l’enveloppe max des pertes par friction, on tient compte de leurs dépendances avec le régime moteur.|
TQLOSSMON_vidDet_Pertes_Max_Pomp|A|();|FCT4.3|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|On détermine les pertes maximales par pompage. Celles-ci correspondent à la somme de l’offset max et de l’enveloppe max des pertes par pompage nominales en fonction du régime moteur.|
TQLOSSMON_vidDet_Pertes_Mot_Glob|A|();|FCT4.6|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction somme les différentes contributions des pertes moteur et applique une  saturation au signal obtenu.|
TQLOSSMON_vidDet_Pertes_Moteur|A|();|FCT4.1|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet la validation des pertes moteur. Elle réalise la comparaison des pertes calculées par l’ACS avec celles calculées par la TMS pour chacune des sous fonctions.|
TQLOSSMON_vidEntryInit|B|();|SCH.1|TQLOSSMON|1|V02 NT 10 01233||||0|0|0|0|Accroche moniteur de l'evenement reset|
TQLOSSMON_vidFiltrer_consigne|A|();|FCT5.5|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction filtre le couple prélevé estimé.|
TQLOSSMON_vidFiltrer_Pertes_DA|A|();|FCT3.6|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette sous fonction redonde le filtrage des pertes DA effectué dans l’ACS.|
TQLOSSMON_vidFiltrer_redond_ACS|A|();|FCT2.6|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction de filtrage est redondée de l’ACS.|
TQLOSSMON_vidInitOutput|C|();|FCT1.1|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Initialisation des parametres|
TQLOSSMON_vidSelectioner_Type_DA|A|();|FCT3.5|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette sous fonction permet de déterminer le signal à utiliser en fonction du type de DA.|
TQLOSSMON_vidTraiter_entrees|A|();|FCT5.2|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction réalise le traitement de l’info vitesse véhicule. En cas de défaut de cette  vitesse, elle passe à une valeur refuge.|
TQLOSSMON_vidTraiter_Vveh|B|();|FCT3.2|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette sous fonction réalise le traitement de la vitesse  véhicule en cas de défaut de signal.|
TQLOSSMON_vidVal_Demande_Altern|B|();|FCT1.6|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de valider que le couple prélevé par l’alternateur est inférieur à son enveloppe maximale.|
TQLOSSMON_vidVal_Pertes_Pompe_HP|A|();|FCT4.5|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Les pertes de la pompe haute pression sont validées par comparaison avec une valeur max.|
TQLOSSMON_vidValider_consigne|A|();|FCT5.6|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction valide l’estimation du couple prélevé par le convertisseur.|
TQLOSSMON_vidValider_Pertes_Clim|A|();|FCT2.8|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction permet de valider la sortie du couple clim en s’assurant que ce couple est inférieur au couple max calculé par son équivalent dans l’ACS.|
TQLOSSMON_vidValider_Pertes_Glob|C|();|FCT5.8|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction fait la synthèse des levées de défauts et valide le couple final des pertes.|
TQLOSSMON_vidValider_Reserve_GMV|A|();|FCT1.4|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette fonction détermine la borne max du couple de réserves GMV et valide que le couple de réserves calculé au niveau ACS est inférieur à cette valeur.|
TQLOSSMON_vidValider_signal_ACS|A|();|FCT3.7|TQLOSSMON|0|V02 NT 10 01233||||0|0|0|0|Cette sous fonction permet de valider le signal de l’ACS en fonction de l’enveloppe max calculée dans la TMS.|
