47|1|0|0|0|0|7|0|83|0|48041|0
76|1|0|0|0|0|7|0|0|0|146|0
86|1|0|0|0|0|10|0|0|0|117|0
91|5|0|0|0|91|1|0|0|0|0|0
93|1|0|0|0|0|5|0|0|0|91|0
98|5|0|0|0|98|1|0|0|0|0|0
99|1|0|0|0|0|5|0|0|0|98|0
110|1|0|0|0|4294967291|6|0|0|0|4294967291|0
111|1|0|0|0|4294967291|6|0|0|0|4294967291|0
112|1|0|0|0|4294967291|6|0|0|0|4294967291|0
114|1|0|0|0|4294967291|6|0|0|0|4294967291|0
115|1|0|0|0|4294967291|6|0|0|0|4294967291|0
116|1|0|0|0|4294967291|6|0|0|0|4294967291|0
117|10|0|0|0|117|1|0|0|0|0|0
125|1|0|0|0|4294967291|6|0|0|0|4294967291|0
126|1|0|0|0|4294967291|6|0|0|0|4294967291|0
127|1|0|0|0|4294967291|6|0|0|0|4294967291|0
129|1|0|0|0|4294967291|6|0|0|0|4294967291|0
130|1|0|0|0|4294967291|6|0|0|0|4294967291|0
131|1|0|0|0|4294967291|6|0|0|0|4294967291|0
146|7|0|0|0|146|1|0|0|0|0|0
153|1|0|0|0|0|7|0|0|0|146|0
155|7|0|0|0|146|10|0|0|0|117|0
156|1|0|0|0|0|7|0|0|0|146|0
160|1|0|0|0|0|7|0|0|0|146|0
165|7|0|0|0|146|8|0|0|0|166|0
166|8|0|0|0|166|1|0|0|0|0|0
171|4|0|352|15513|172|1|0|0|0|0|0
172|4|0|352|15513|172|1|0|0|0|0|0
174|4|0|353|15513|175|1|0|0|0|0|0
175|4|0|353|15513|175|1|0|0|0|0|0
728|19|0|0|0|728|1|0|0|0|0|0
738|12|0|0|0|738|1|0|0|0|0|0
739|12|0|0|0|739|1|0|0|0|0|0
740|12|0|0|0|740|1|0|0|0|0|0
741|12|0|0|0|741|1|0|0|0|0|0
742|24|0|0|0|742|1|0|0|0|0|0
792|16|0|0|0|14892|16|0|0|0|11471|0
827|16|0|0|0|14892|16|0|0|0|11471|0
868|18|0|0|0|1506|12|0|0|0|739|0
871|18|0|0|0|1506|12|0|0|0|739|0
