Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0||
TQFANRES_vidCalculReserveGMV|F|();|FCT1.9|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|La réserve de couple demandée varie entre la valeur 0 et le produit du facteur  d’atténuation GMV  et  d’une  valeur  calibrable suivant  le  type  de GMV. Elle se  dégrade  progressivement  si  la  condition  réserve GMV  est  non  active.|
TQFANRES_vidConditionReserveGMV|D|();|FCT1.5|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|La condition réserve de couple GMV est active si au moins une des trois conditions est valide.|
TQFANRES_vidCoupleTransitoireGMV|E|();|FCT1.4|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|Le couple GMV compensé est le produit d’une valeur de couple calibrable sélectionnée suivant le type de GMV et le facteur d’atténuation qui varie en fonction du régime moteur et la vitesse véhicule dans une cartographie calibrable.|
TQFANRES_vidEntry_10ms|B|();|SCH.2|TQFANRES|1|V02 NT 10 05001||||0|0|0|0|Evènement 10 ms.|
TQFANRES_vidEntryInit|B|();|SCH.1|TQFANRES|1|V02 NT 10 05001||||0|0|0|0|Evènement de Reset.|
TQFANRES_vidHiSpdDelayOn|B|();|FCT1.7|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|Produit le booléen d'activation de la grande vitesse (GV) du GMV.|
TQFANRES_vidInitOutput|D|();|FCT1.1|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|Fonction d'initialisation des sorties.|
TQFANRES_vidLoSpdDelayOn|B|();|FCT1.6|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|Produit le booléen d'activation de la petite vitesse (PV) du GMV.|
TQFANRES_vidReserveGMV|B|();|FCT1.2|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|La fonction traite trois types de GMV : GMV classe B1 à vitesse continue, GMV classe B2 à deux vitesses variables et le GMV classe C à vitesse variable.|
TQFANRES_vidStFanDelayOff|C|();|FCT1.8|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|Produit le booléen d'activation du GMV de type C.|
TQFANRES_vidTraitementEntreesGMV|E|();|FCT1.3|TQFANRES|0|V02 NT 10 05001||||0|0|0|0|La fonction retraite les commandes des GMV quelque soit leur type. Lorsque Ext_stCfFan = 1, le GMV tourne à grande vitesse. Lorsque Ext_stCfFan = 2, le GMV peut tourner à deux vitesses différentes. Lorsque Ext_stCfFan = 0, le GMV est en vitesse continue|
