Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AC_EveRst_ACPresAcq|A|();|SCH.1|ACPRESACQ|1|PTS_DOC_6545428||||0|0|0|0|Fonction d'accroche à l'event AC_EveRst_ACPresAcq
AC_EveRst_ACPresAcqAdc|A|();|SCH3.2|ACQADC|1|PTS_DOC_6669203||||0|0|0|0|Evènement reset
AC_EveRst_ACPresAcqIf|B|();|SCH10.2|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evènement reset|
AC_EveRst_AdHeatCmd|B|();|SCH.1|ADHEATCMD|1|PTS_DOC_6851368||||0|0|0|0|Reset event for additional heating command|
AC_EveRst_CmdDio|A|();|SCH.1|CMDDIO_DT|1|PTS_DOC_6913275||||0|0|0|0|Reset event for additional heating command|
AC_SdlFast_ACPresAcq|A|();|SCH.2|ACPRESACQ|1|PTS_DOC_6545428||||0|0|0|0|Fonction d'accroche à l'event AC_SdlFast_ACPresAcq
AC_SdlFast_ACPresAcqAdc|A|();|SCH3.1|ACQADC|1|PTS_DOC_6669203||||0|0|0|0|Moniteur rapide de la fonction climatisation
AC_SdlFast_ACPresAcqIf|B|();|SCH11.7|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Moniteur rapide de la fonction climatisation|
AC_SdlMid_ACPresAcq|A|();|SCH.3|ACPRESACQ|1|PTS_DOC_6545428||||0|0|0|0|Fonction d'accroche à l'event AC_SdlMid_ACPresAcq
AC_SdlSlow_AdHeatCmd|B|();|SCH.2|ADHEATCMD|1|PTS_DOC_6851368||||0|0|0|0|Slow monitoring for additional heating command function|
AC_SdlSlow_AdHeatCmdDiag|A|();|SCH.2|ACQDGOHAL_DT|1|PTS_DOC_6854092||||0|0|0|0|Slow monitoring for additional heating command function|
AC_SdlSlow_CmdDio|A|();|SCH.2|CMDDIO_DT|1|PTS_DOC_6913275||||0|0|0|0|Slow monitoring for additional heating command function.|
AccP_EveKOf_AccPEM|A|();|SCH.2|ACCPEM|1|PTS_DOC_5021748||||0|0|0|0|Evénement clef On_Off
AccP_EveRst_AccPEM|A|();|SCH.1|ACCPEM|1|PTS_DOC_5021748||||0|0|0|0|Event reset.
AccP_EveRst_AccPMngModSec|A|();|SCH.1|ACCPMNGMODSECU|1|PTS_DOC_7317422||||0|0|0|0|ECU reset
AccP_EveRst_AcqPosn|F|();|SCH.1|ACCPACQPOS|1|PTS_DOC_6601121||||0|0|0|0|Fonction d'accroche à l'evenement AccP_EveRst_AcqPosn
AccP_EveRst_AcqPosnAdc|A|();|SCH3.8|ACQADC|1|PTS_DOC_6669203||||0|0|0|0|Evénement reset du calculateur
AccP_EveRst_Clc|A|();|SCH.1|ACCPCALCRPOS|1|PTS_DOC_7293537||||0|0|0|0|Evènement de reset
AccP_EveRst_FLrng|C|();|SCH.1|ACCPLRNPOS|1|V02 NT 08 03749||||0|0|0|0|Fonction d'accroche à l'événement AccP_EveRst_FLrng
AccP_EveRst_MonStuckAccP|B|();|SCH.1|ACCPSTUCKDIAG|1|V02 NT 09 01550||||0|0|0|0|Evènement reset de l'ECU
AccP_EveRst_SwtAcqDiag|A|();|SCH.1|ACCPSWTACQDIAG|1|PTS_DOC_6606841||||0|0|0|0|Evénement reset du calculateur
AccP_EveRstPed_FLrng|A|();|SCH.3|ACCPLRNPOS|1|V02 NT 08 03749||||0|0|0|0|Runnable Demande de reset apprentissage pédale accélérateur
AccP_SdlFast_AccPEM|A|();|SCH.3|ACCPEM|1|PTS_DOC_5021748||||0|0|0|0|Moniteur rapide de la fonction pédale d'accélérateur
AccP_SdlFast_AccPMngModSec|A|();|SCH.2|ACCPMNGMODSECU|1|PTS_DOC_7317422||||0|0|0|0|Fast scheduler
AccP_SdlFast_AcqPosn|G|();|SCH.2|ACCPACQPOS|1|PTS_DOC_6601121||||0|0|0|0|Fonction d'accroche à l'evenement AccP_SdlFast_AcqPosn
AccP_SdlFast_AcqPosnAdc|A|();|SCH3.9|ACQADC|1|PTS_DOC_6669203||||0|0|0|0|Moniteur rapide de la fonction pédale d'accélérateur
AccP_SdlFast_Clc|C|();|SCH.2|ACCPCALCRPOS|1|PTS_DOC_7293537||||0|0|0|0|Fonction d'accroche à l'evenement AccP_SdlFast_Clc
AccP_SdlFast_Ftm|A|();|SCH.2|ACCPFRM|1|V02 NT 08 03781||||0|0|0|0|Fonction moniteur activé suite à l'évènement AccP_SdlFast_Ftm
AccP_SdlFast_MonStuckAccP|B|();|SCH.2|ACCPSTUCKDIAG|1|V02 NT 09 01550||||0|0|0|0|Moniteur rapide
AccP_SdlFast_StIf|C|();|SCH1.2|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
AccP_SdlFast_SwtAcqDiag|D|();|SCH.2|ACCPSWTACQDIAG|1|PTS_DOC_6606841||||0|0|0|0|Moniteur rapide pour la fonction pédale
AccP_SdlFast_SwtAcqDiagAdc|A|();|SCH3.10|ACQADC|1|PTS_DOC_6669203||||0|0|0|0|Moniteur rapide pour la fonction pédale
AccP_SdlSlow_FLrng|A|();|SCH.2|ACCPLRNPOS|1|V02 NT 08 03749||||0|0|0|0|Fonction d'accroche à l'événement AccP_SdlSlow_FLrng
ACCPACQPOS_vidDiagElecPiste1|A|();|FCT1.4|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Production des variables bMponRun des diag elec qui sont conditionnés exclusivement par le FRM FRM_bInhAccPElDiag et des bDgo qui sont levés en cas de valeur hors plage de l’acquisition pédale.
ACCPACQPOS_vidDiagElecPiste2|A|();|FCT1.6|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Production des variables bMponRun des diag elec qui sont conditionnés exclusivement par le FRM FRM_bInhAccPElDiag et des bDgo qui sont levés en cas de valeur hors plage de l’acquisition pédale.
ACCPACQPOS_vidDiagnosticCoh|G|();|FCT2.2|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Fonction permettant de vérifier la cohérence électrique des deux signaux, en les comparant. La comparaison est effectuée avec la valeur absolue filtrée de la différence entre les deux mesures.
ACCPACQPOS_vidDoubleFaultAccP|B|();|FCT1.8|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Le comptage des pannes découle si le booléen d’inhibition est positionné à 0.
ACCPACQPOS_vidElectCoherence|F|();|FCT2.1|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|En cas de défaut sur la batterie, la détection de défaut est inhibée ; dans le cas d'un  défaut sur les alimentations capteurs, la détection de défaut est inhibée sur le groupe de capteurs alimenté par l'alimentation en défaut.
ACCPACQPOS_vidInit|A|();|FCT1.1|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Lors d’un Reset soft, AccP_rAccPSens1 et AccP_rAccPSens2 sont sauvegardées en RAM non volatile. Lors de l’initialisation du calculateur, ces 2 variables sont  initialisées à 0.
ACCPACQPOS_vidInitOutput|G|();|FCT2.3|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Fonction d'initialisation
ACCPACQPOS_vidLinearFilterPiste1|A|();|FCT1.9|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|La tension pédale est linéarisée en un ratio (via la carto AccP1_LinPos_Map) puis filtrée par un par un filtre du premier ordre
ACCPACQPOS_vidLinearFilterPiste2|A|();|FCT1.10|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|La tension pédale est linéarisée en un ratio (via la carto AccP2_LinPos_Map) puis filtrée par un par un filtre du premier ordre
ACCPACQPOS_vidPanne1Measurement|F|();|FCT1.5|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Le capteur 1 est déclaré en CC à la tension Batterie si la tension à la sortie du convertisseur A/N est supérieure à un seuil ; en circuit ouvert ou en CC à la masse si cette mesure est inférieure à un second seuil. Le comptage des pannes en découle.
ACCPACQPOS_vidPanne2Measurement|F|();|FCT1.7|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Le test est effectué si le booléen d’inhibition est positionné à 0. Le capteur 2 est déclaré en CC à la tension batterie si la tension à la sortie du conv A/N est sup à un seuil;en circuit ouvert ou en CC à la masse si la tension est inf à un second seuil
ACCPACQPOS_vidPosPedalAcquisition|G|();|FCT1.3|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Fonction permettant l'acquisition des positions pédale qui se fait en plusieurs étapes à savoir la linéarisation et le filtrage des tensions d’acquisitions des 2 capteurs et le diagnostic électrique sur ces tensions.
ACCPACQPOS_vidRstSw|A|();|FCT1.2|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Initialisation des variables AccP_rAccPSens1 et AccP_rAccPSens2
ACCPCALCRPOS_vidAcquisitionDVApp|B|();|FCT1.3|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Acquisition de la position pedale
ACCPCALCRPOS_vidApsPedPos|B|();|FCT1.4|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Calcul de la position pédale finale bornee par la position pédale RVV et la position pédale LVV
ACCPCALCRPOS_vidDetection_aps|A|();|FCT1.6|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|L’information position pédale relative permet de détecter le pied levé et le pied à fond pédale, cette détection est  basée dans les deux cas sur un seuil avec hystérésis.
ACCPCALCRPOS_vidDVApp|B|();|FCT1.2|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Cette fonction calcule la position pedale relative a partir des  positions pied à fond et pied leve
ACCPCALCRPOS_vidEtat_pos_aps|A|();|FCT1.5|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Ce bloc décrit l’état de la pédale accélérateur à partir de l’information volonté conducteur.
ACCPCALCRPOS_vidFinal_Detection|A|();|FCT1.8|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|L’information position pédale relative permet de détecter le pied levé, cette détection est  basée dans les deux cas sur un seuil avec hystérésis.
ACCPCALCRPOS_vidFinal_state_Pos|A|();|FCT1.7|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Prise en compte de l’issue VEMS V02 ECU#056991 : Ajout de la variable Dv_detection_pied_leve_final qui prend en compte le régulateur de vitesse.
ACCPCALCRPOS_vidInit|A|();|FCT1.1|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Cette fonction initialise les variables produites par le module ACCPCALCRPOS
ACCPEM_vidAccPCohAuth|A|();|FCT1.6|ACCPEM|0|PTS_DOC_5021748||||0|0|0|0|Le test de cohérence est autorisé lorsqu’on est au Key ON. Il est inhibé lorsque le défaut pédale bloquée passe en état fugitif pendant un temps calibrable.
ACCPEM_vidAccPCohDiag|B|();|FCT1.7|ACCPEM|0|PTS_DOC_5021748||||0|0|0|0|Si la position pédale pour Easy Move est supérieure à la position pédale AccP_rAccP et si le paramètre P334 n’est pas à la valeur invalide, on lève un diagnostic de cohérence.
ACCPEM_vidAccPReinfPos|A|();|FCT2.1|ACCPEM|0|PTS_DOC_5021748||||0|0|0|0|Cete fonction permet de calculer une position pédale robuste à partir du minimum des 3 dernières valeurs des positions pédales brutes recalées des capteurs 1 et 2.
ACCPEM_vidAccPSatPos|A|();|FCT2.2|ACCPEM|0|PTS_DOC_5021748||||0|0|0|0|Cette fonction  permet d’effectuer un bouclage de la position pédale robuste à sa dernière valeur lorsqu’un défaut électrique sur les capteurs de position pédale est en état ponctuel présent et de saturer cette position pédale à 99.5
ACCPEM_vidDiagCoh|A|();|FCT1.3|ACCPEM|0|PTS_DOC_5021748||||0|0|0|0|test de cohérence des enfoncements pédale entre la variable position pédale et la position pédale pour Easy Move.
