Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Fonction de production des variables GDGAR.|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|1|HEADER|1|NONE||||0|0|0|0||
Wg_EveRst_WgcCmd|C|();|SCH.1|WGCCMD|1|PTS_DOC_6851415||||0|0|0|0|Evénement reset du calculateur|
Wg_SdlMid_WgcCmd|C|();|SCH.2|WGCCMD|1|PTS_DOC_6851415||||0|0|0|0|Moniteur moyen pour la fonction AirPres|
WgcCmd_vidBat_Volt_Filtering|B|();|FCT1.3|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|The battery voltage is filtered on the two last values|
WgcCmd_vidDiagnostic|C|();|FCT1.8|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|Diagnostic Function for wastegate command|
WgcCmd_vidDuty_cycle_conversion|C|();|FCT1.6|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|The duty cycle signal of the wastegate actuator (Ext_TrbAct_rCtl) is clamped between these tow calibrations (Minimum duty cycle control and Maximum duty cycle control)|
WgcCmd_vidInitOutput|B|();|FCT1.1|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|Init function|
WgcCmd_vidP_Trb_PwrSup_calcul|B|();|FCT1.4|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|According to the chosen calibrations the power supply received by the wastegate ( Ext_uTrbAct ) will be : - Filtered in voltage -  Filtered in current -  Filtered in voltage and current -  Filtered on the two last values of the battery voltage measured|
WgcCmd_vidRequest_CorrecLimit|C|();|FCT1.5|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|According to the chosen calibrations, the duty cycle signal of the wastegate actuator is corrected or not, and bounded between 0 and 100 percent.|
WgcCmd_vidWgcCmdApplication|E|();|FCT1.7|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|According to the chosen calibrations the wastegate actuator is commanded on normal or bench mode. The wastegate signal command (PWM frequency and duty cycle) is transmitted through the basic layer via the PWMHAL service.|
WgcCmd_vidWgcTreatment|B|();|FCT1.2|WGCCMD|0|PTS_DOC_6851415||||0|0|0|0|The main function of the bloc is the processing of the wastegate control signal (PWM signal frequency and duty cycle).|
