Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
Fisa_EveTDC_FisaInhMgr|A|();|SCH.3|FISAINHMGR|1|V02 NT 09 00158||||0|0|0|0|Evènement interruption PMH .
Fisa_SdlMid_FisaInhMgr|A|();|SCH.2|FISAINHMGR|1|V02 NT 09 00158||||0|0|0|0|Moniteur medium pour la fonction FISA .
FISAINHMGR_vidCrankingState|B|();|FCT1.3|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|Au démarrage , si le regime moteur est inférieure au seuil d'inhibition FISA ou  si le seuil maximal pour le gradient de tension batterie est dépassé ou bien le demarrage à la poussette est  détecté .Il y'aura détection d'un état cranking.
FISAINHMGR_vidEntryInit|A|();|SCH.1|FISAINHMGR|1|V02 NT 09 00158||||0|0|0|0|Fonction d'accroche sur l'évent FISAINHMGR_vidEntryInit.
FISAINHMGR_vidFisaCaseDetermin|A|();|FCT1.2|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|Ce bloc permet de déterminer des cas de vie spécifique aux besoins de reconfiguration pour la fonction FISA .
FISAINHMGR_vidFisaLearningInhib|A|();|FCT1.5|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|cette fonction permet de déterminer la démande d'inhibition du FISA via le booléen FISA_bInhFISA.
FISAINHMGR_vidInhibObservInst|A|();|FCT1.8|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|cette fonction permet de déterminer la demande d’inhibition de l’observation des instabilités.
FISAINHMGR_vidInitOutput|A|();|FCT1.1|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|Fonction d'initialisation des sorties.
FISAINHMGR_vidMoveModeRefugeLean|A|();|FCT1.6|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|La demande de passage en mode FISA pauvre via le booléen FISA_bPoor a lieu dans les cas suivants : FRM_bAcvFISAPoor à 1
FISAINHMGR_vidMoveModeRefugeRich|A|();|FCT1.7|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|La demande de passage en mode FISA riche via le booléen FISA_bRich a lieu dans les cas suivants : FRM_bAcvFISARich à 1
FISAINHMGR_vidReconfigManagement|A|();|FCT1.4|FISAINHMGR|0|V02 NT 09 00158||||0|0|0|0|Cette fonction permet de considérer tous les modes de défaillances et cas de vie particuliers impactant la  stratégie d’adaptation de l’injection au démarrage.
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value
