Implement|ArgumentOrder|ItemType|Star|MasterType|ItemName|DimX|DimY|typedef_a_supprimer|Validation|Module|Public|Kind_of_export
argret|1|Std_ReturnType|0|func_CRKHAL_udtEnableDetection||0|0|0|0|TYPEDEF|1|None
argout|1|uint32|1|func_CRKHAL_udtRLTD|pu32Duration|0|0|0|0|TYPEDEF|1|None
argret|1|Std_ReturnType|0|func_CRKHAL_udtRLTD||0|0|0|0|TYPEDEF|1|None
argret|1|Std_ReturnType|0|func_TDCHAL_udtGetPeriod||0|0|0|0|TYPEDEF|1|None
argout|1|uint32|1|func_TDCHAL_udtGetPeriod|pu32Period|0|0|0|0|TYPEDEF|1|None
struct|0|uint32|0|DGOHAL_tbfStatus||0|0|0|0|TYPEDEF|1|Module Header
struct|0|uint32|0|DGOHAL_tudtChannel||0|0|0|0|TYPEDEF|1|Module Header
argret|1|DGOHAL_tbfStatus|0|func_DGOHAL_bfRead||0|0|0|0|TYPEDEF|1|None
argin|1|DGOHAL_tudtChannel|0|func_DGOHAL_bfRead|udtChannel|0|0|0|0|TYPEDEF|1|None
struct|0|uint8|0|CAMHAL_tudtChannel||0|0|0|0|TYPEDEF|1|Module Header
argret|1|boolean|0|func_CAMHAL_udtReadStatus||0|0|0|0|TYPEDEF|1|None
argout|3|boolean|1|func_CAMHAL_udtReadStatus|pbStatus|0|0|0|0|TYPEDEF|1|None
argin|2|uint8|0|func_CAMHAL_udtReadStatus|u8Channel|0|0|0|0|TYPEDEF|1|None
argin|1|CAMHAL_tudtChannel|0|func_CAMHAL_udtReadStatus|udtChannel|0|0|0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtEnableDetection||0|0|0|0|TYPEDEF|1|None
argin|1|CAMHAL_tudtChannel|0|func_CAMHAL_udtEnableDetection|udtChannelName|0|0|0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtReadEventPos||0|0|0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_TDCHAL_udtGetCounter||0|0|0|0|TYPEDEF|1|None
argout|1|uint8|1|func_TDCHAL_udtGetCounter|pu8Counter|0|0|0|0|TYPEDEF|1|None
argout|2|uint16|1|func_CAMHAL_udtReadEventPos|pu16Position|0|0|0|0|TYPEDEF|1|None
argin|1|CAMHAL_tudtChannel|0|func_CAMHAL_udtReadEventPos|udtChannelName|0|0|0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtReadToothPeriod||0|0|0|0|TYPEDEF|1|None
argout|2|uint32|1|func_CAMHAL_udtReadToothPeriod|pu32Period|0|0|0|0|TYPEDEF|1|None
argin|1|CAMHAL_tudtChannel|0|func_CAMHAL_udtReadToothPeriod|udtChannelName|0|0|0|0|TYPEDEF|1|None
struct|0|uint8|0|CAMHAL_tenuMode||0|0|0|0|TYPEDEF|1|Module Header
argret||uint16|0|func_CRKHAL_u16GetEngineAngle||0|0|0|0|TYPEDEF|1|None
argret|0|Std_ReturnType|0|func_CAMHAL_udtReadSignalLevel||0|0|0|0|TYPEDEF|1|None
argout|2|boolean|1|func_CAMHAL_udtReadSignalLevel|bLocalLevel|0|0|0|0|TYPEDEF|1|None
argin|1|CAMHAL_tudtChannel|0|func_CAMHAL_udtReadSignalLevel|udtChannelName|0|0|0|0|TYPEDEF|1|None
