Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
NVMSRV_vidWrite|B|(argin NVMSRV_tudtObjectList udtObject, argin boolean bMode);|1|HEADER|1|NONE||||0|0|0|0||
SftyMgt_SdlMid_SftyMgr|B|();|SCH.2|SFTYMNGR|1|PTS_DOC_5199559||||0|0|0|0|fonction d'accroche de l'evenement SftyMgt_SdlMid_SftyMgr|
SFTYMNGR_vidAdaptationEdge|D|();|FCT1.10|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|détection des fronts montants|
SFTYMNGR_vidAppliqueInhiDefaut|D|();|FCT1.9|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|appliquer Inhibition des Defauts|
SFTYMNGR_vidCalcCompteurEscalade|C|();|FCT1.5|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|calcul du Compteur de l'echelle des défauts ECU|
SFTYMNGR_vidCalculeMiseEnVeille|C|();|FCT1.6|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|Gere l’inhibition de l’écoute des défauts|
SFTYMNGR_vidCalculeSeuilRPM|D|();|FCT1.8|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|Calcul du seuil RPM|
SFTYMNGR_vidCasDefaut|C|();|FCT3.2|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|gérer le cas de déclanchement de l’évènement d’écriture en mémoire sauvegardée sur défaut.|
SFTYMNGR_vidCasKeyOff|C|();|FCT3.7|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|gérer le cas de déclanchement de l’évènement d’écriture en mémoire sauvegardée sur keyOff.|
SFTYMNGR_vidCasSaturaEcritureMem|C|();|FCT4.4|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|gérer le cas de déclanchement de l’évènement de défaut d’écriture sur Mem Saturée.|
SFTYMNGR_vidCondEcriMemSurDefaut|C|();|FCT3.3|SFTYMNGR|0|PTS_DOC_5199559||||0|0|0|0|calculer la condition d'écriture sur mémoire sur defaut|
