Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
CoFan_EveRst_CmdDiagCoFan|A|();|SCH.1|COFANCMDDIAG|1|PTS_DOC_6722439||||0|0|0|0|Fonction d'accroche au moniteur CoFan_EveRst_CmdDiagCoFan
CoFan_EveRstDft_CmdDiagCoFan|B|();|SCH.2|COFANCMDDIAG|1|PTS_DOC_6722439||||0|0|0|0|Fonction d'accroche au moniteur CoFan_EveRstDft_CmdDiagCoFan
CoFan_SdlMid_CmdDiagCoFan|C|();|SCH.3|COFANCMDDIAG|1|PTS_DOC_6722439||||0|0|0|0|Fonction d'accroche au moniteur CoFan_SdlMid_CmdDiagCoFan
COFANCMDDIAG_vidCoFan1Cmd|A|();|FCT6.8|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Cette fonction envoie les commandes CMD_GMV1 et CMD_GMV2 au LdB selon l’équipement (B1 ou B2).
COFANCMDDIAG_vidCoFan1CmdFricC|A|();|FCT6.9|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Cette fonction envoie les commandes CMD_GMV1 et CMD_GMV2 au LdB selon l’équipement (C)
COFANCMDDIAG_vidCofanB2_DEFAUT|B|();|FCT4.5|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Focntion de transition de l'étape COFANB2_DEFAULT
COFANCMDDIAG_vidCofanB2_GVTran|D|();|FCT4.4|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANB2_GV
COFANCMDDIAG_vidCofanB2_PVTran|B|();|FCT4.3|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de la transition de l'état COFANB2_PV
COFANCMDDIAG_vidCofanB2VNullTran|B|();|FCT4.1|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|fonction de transition de l'état COFANB2_VNULLE
COFANCMDDIAG_vidCofanB2WaitTran|D|();|FCT4.2|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANB2_ATTENTE
COFANCMDDIAG_vidCofanc_Default_T|C|();|FCT2.6|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANC_DEFAULT
COFANCMDDIAG_vidCofanc_Gmvp_T|D|();|FCT4.8|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANC_GMVP
COFANCMDDIAG_vidCofanc_Init_T|B|();|FCT2.5|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|fonction de transition de l'état COFANC_INIT
COFANCMDDIAG_vidCofanc_Rf_T|E|();|FCT4.10|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANC_RF
COFANCMDDIAG_vidCofanc_Rfao_T|E|();|FCT4.7|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANC_RFAO
COFANCMDDIAG_vidCofanc_Rfgmvp_T|E|();|FCT4.9|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANC_RFGMVP
COFANCMDDIAG_vidCofanc_Ro_T|D|();|FCT4.6|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Fonction de transition de l'état COFANC_RO
COFANCMDDIAG_vidCoFanCmd|D|();|FCT2.7|COFANCMDDIAG|0|PTS_DOC_6722439||||0|0|0|0|Cette fonction envoie les commandes CMD_GMV1 et CMD_GMV2 au LdB selon l’équipement et leur type.
