Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
MONAUTHOSTT_vidArch2004_2010_BVA|B|();|FCT1.7|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation de la demande de démarrage en BVA|
MONAUTHOSTT_vidArch2004_2010BVMP|B|();|FCT1.9|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation de la demande de démarrage en BVMP|
MONAUTHOSTT_vidArchi2010_et_BVMP|B|();|FCT1.8|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation du diagnostic Chaine de traction pour ADML Archi 2010 et BVMP|
MONAUTHOSTT_vidArchi2010et_BVA|B|();|FCT1.6|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation du diagnostic Chaine de traction pour ADML Archi 2010 et BVA|
MONAUTHOSTT_vidAutorisationDem|D|();|FCT2.10|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Autorisation de démarrage|
MONAUTHOSTT_vidAutorisRedemSTT|B|();|FCT2.2|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Cette fonction permet de surveiller le démarrage / redémarrage intempestif STT , DAGMP.|
MONAUTHOSTT_vidAutorRedemSansSTT|B|();|FCT2.9|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Pas de sécurisation hors STT|
MONAUTHOSTT_vidCalcul_Defaut_CdT|B|();|FCT2.5|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Définit la condition dans laquelle l’embrayage ou le neutre sont considérés en défaut|
MONAUTHOSTT_vidCompGenDefautSTT|E|();|FCT3.3|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Comparaison de la demande dem / redem sécurisée avec la demande niveau applicatif, filtre anti-rebond et calibration de la remontée du défaut.|
MONAUTHOSTT_vidConfigArchiEEBV|B|();|FCT1.2|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Detecte la configuration BV et Archi EE|
MONAUTHOSTT_vidCoord_defaut_CdT|C|();|FCT2.6|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Calibration de la remontée des défauts et filtres antirebonds.|
MONAUTHOSTT_vidCoordAutDemRedem|D|();|FCT3.1|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Coordination dem / redem sécurisée|
MONAUTHOSTT_vidCoordSecuriADML|C|();|FCT1.10|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Paramétrage de la prise en compte des défauts et filtrage anti-rebond.|
MONAUTHOSTT_vidCrdDemdAutDmRdmN1|C|();|FCT3.2|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Coordination autorisation Dem / redem niveau applicatif (CMM et SEEM)|
MONAUTHOSTT_vidCrdEmbConNeutConf|B|();|FCT2.8|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Merge|
MONAUTHOSTT_vidEntryInit|C|();|SCH.1|MONAUTHOSTT|1|PTS_DOC_5199597||||0|0|0|0|Accroche moniteur de la fonction  Reset|
MONAUTHOSTT_vidInitOutput|D|();|FCT1.1|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Fonction d'initialisation|
MONAUTHOSTT_vidMergeSTTConfig|B|();|FCT3.4|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Synthèse finale du défaut.|
MONAUTHOSTT_vidMiseEnPlaceFRMBVA|B|();|FCT1.5|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation de la mise en place du FRM sur le flux de l’état de la chaine de traction|
MONAUTHOSTT_vidSecuEmbConNeutBVA|B|();|FCT2.7|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Pas de sécurisation d’embrayage et neutre en BVA/BVMP|
MONAUTHOSTT_vidSecurEmbrContNeut|B|();|FCT2.4|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation de l’embrayage continu, seulement valide en BVM|
MONAUTHOSTT_vidSecurisationADML|B|();|FCT1.4|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Sécurisation de l’ouverture de la chaine de traction en ADML BVA en fonction de l’architecture EE.|
MONAUTHOSTT_vidSecurisationSTTDA|B|();|FCT2.1|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Cette fonction permet de surveiller le démarrage / redémarrage intempestif STT , DAGMP.|
MONAUTHOSTT_vidSecuriser_STT|C|();|FCT2.3|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Cette fonction permet de surveiller le démarrage / redémarrage intempestif STT , DAGMP.|
MONAUTHOSTT_vidSTTConfiguration|E|();|FCT1.3|MONAUTHOSTT|0|PTS_DOC_5199597||||0|0|0|0|Cette fonction permet de bypasser la sécurisation des demandes Démarrage / redémarrage STTd|
SftyMgt_SdlMid_STTDrvTra|B|();|SCH.2|MONAUTHOSTT|1|PTS_DOC_5199597||||0|0|0|0|Moniteur Moyen du module MONAUTHOSTT|
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0||
