Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AirPres_EveRst_BrkAsiAcq|E|();|SCH.1|BRKASIACQ|1|PTS_DOC_6525171||||0|0|0|0|Fonction d'accroche à l'évènement reset|
AirPres_SdlFast_BrkAsiAcq|D|();|SCH.2|BRKASIACQ|1|PTS_DOC_6525171||||0|0|0|0|Fonction d'accroche au moniteur rapide de la fonction AirPres|
AirPres_SdlSfty_BrkAsiAcq|C|();|SCH.3|BRKASIACQ|1|PTS_DOC_6525171||||0|0|0|0|Evènement de calcul des fonctions safety de niveau 2|
BRKASIACQ_vidBrkAsiAcq|E|();|FCT1.8|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Fonction qui permet qu'en cas de défaut détecté (court-circuit à la masse ou au plus du capteur Mastervac) la valeur de la pression sera figée à sa dernière valeur calculée et prendra une valeur de refuge en cas de confirmation du défaut.|
BRKASIACQ_vidBrkAsiAcqBrut|E|();|FCT1.4|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Fonction de transfert Tension Pression|
BRKASIACQ_vidCallMng|E|();|FCT1.3|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Fonction d'appel conditionné pour le module BrkAsiAcq.|
BRKASIACQ_vidGrdDiagnostic|C|();|FCT1.7|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Fonction qui énumère les différents court-circuits qui engendre un défaut sur le capteur Mastervac.|
BRKASIACQ_vidInitialization|E|();|FCT1.2|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Initialisation au réveil calculateur de la valeur de pression d’air dans le mastervac.|
BRKASIACQ_vidInitOutput|D|();|FCT1.1|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Fonction d'initialisation|
BRKASIACQ_vidMstrVacSensorDiag|D|();|FCT1.5|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Cette fonction énumère les différents court-circuits (à la masse et au plus) qui engendre un défaut sur le capteur Mastervac|
BRKASIACQ_vidScDiagnostic|C|();|FCT1.6|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Fonction qui énumère les différents court-circuits qui engendre un défaut sur le capteur Mastervac.|
BRKASIACQ_vidSftLvl2|B|();|FCT1.9|BRKASIACQ|0|PTS_DOC_6525171||||0|0|0|0|Ce bloc permet de répondre aux exigences de safety niveau 2 concernant le diagnostics électriques du capteur de pression mastervac|
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|1|HEADER|1|NONE||||0|0|0|0||
GDGAR_tenuGetStDgo|A|(argin uint16 u16IdxDft)GDFRM_tenuGDUState;|1|HEADER|1|NONE||||0|0|0|0|value of the GDU states.
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|2|HEADER|1|NONE||||0|0|0|0|API permettant d'appeler la fonction de gestion du GDU. Elle verifie les paramètres passés en arguments et si il y un problème, elle sort sans executer la fonction.|
