Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
CrsCtl_EveRst_CrsCtlOutTreat|C|();|SCH.1|CRSCTLOUTTREAT|1|V02 NT 12 01019||||0|0|0|0|Fonction d'accroche à l'evenement Reset|
CrsCtl_SdlFast_CrsCtlOutTreat|B|();|SCH.2|CRSCTLOUTTREAT|1|V02 NT 12 01019||||0|0|0|0|Moniteur rapide pour la fonction xVV|
CRSCTLOUTTREAT_vidFctTreatProc|C|();|FCT1.9|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Cette fonction sert d’interface entre la fonction xVV et le reste des fonctions internes calculateur.|
CRSCTLOUTTREAT_vidInitOutput|C|();|FCT1.2|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Fonction d'initialisation des sorties|
CRSCTLOUTTREAT_vidSubSystem|C|();|FCT1.7|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|calcul de Cc_defaut_rvv_lvv_mux et de CrsCtl_bDgoCrsCtlDft|
CRSCTLOUTTREAT_vidxVV_init|B|();|FCT1.1|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Ce bloc gère l’initialisation des variables sur évènement reset du calculateur.|
CRSCTLOUTTREAT_vidxVVFail|C|();|FCT1.6|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Appel de la fonction CRSCTLOUTTREAT_vidSubSystem si Ext_bKeyOff = 0 et Diag_on = 1|
CRSCTLOUTTREAT_vidxVVFailCond|C|();|FCT1.5|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Appel de la fonction CRSCTLOUTTREAT_vidxVVFail si Ext_bVSRegCf = 1 ou Ext_bVSLimCf = 1|
CRSCTLOUTTREAT_vidxVVInFctTreat|C|();|FCT1.8|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Cette fonction active l'interface entre la fonction xVV et le reste des fonctions internes calculateur.|
CRSCTLOUTTREAT_vidxVVStateIndic|C|();|FCT1.4|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Calcul de Cc_rvv_lvv_manager_state_mux|
CRSCTLOUTTREAT_vidxVVStIndiCond|C|();|FCT1.3|CRSCTLOUTTREAT|0|V02 NT 12 01019||||0|0|0|0|Appel de la fonction CRSCTLOUTTREAT_vidxVVStateIndic si Ext_bVSRegCf = 1 ou Ext_bVSLimCf = 1|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|1|HEADER|1|NONE||||0|0|0|0||
