Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 index)boolean;|2|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft,argin  boolean bDgo,argin boolean bMonRun,argin boolean Ns_bMonWait) ;|4|HEADER|1|NONE||||0|0|0|0|API permettant d'appeler la fonction de gestion du GDU. Elle verifie les paramètres passés en arguments et si il y un problème, elle sort sans executer la fonction.|
Misf_EveMisf_MisfFaiCtr|E|();|SCH.2|MISFFAICTR|1|PTS_DOC_5069596||||0|0|0|0|Evènement lié à l'interruption logicielle de fin d'acquisition de la fenêtre misfire.|
Misf_EveRst_MisfFaiCtr|C|();|SCH.1|MISFFAICTR|1|PTS_DOC_5069596||||0|0|0|0|Evénement reset du calculateur.|
Misf_SdlSlow_MisfFaiCtr|B|();|SCH.3|MISFFAICTR|1|PTS_DOC_5069596||||0|0|0|0|Moniteur lent de la fonction MisfFaiCtr.|
MISFFAICTR_vidCataDamage|C|();|FCT3.1|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Ce bloc permet si de la mauvaise route est détectée(Mf_rough_road_cat_sum_uavn0 > Mf_rough_road_cat_thresh_uacn0) .|
MISFFAICTR_vidCataDamagePerCyl|E|();|FCT2.1|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Ce bloc permet :    D’attribuer les dommages causés au catalyseur par les misfires pour chaque cylindre.   De compter l’ensemble des misfires « destruction catalyseur » qui se sont produits sur l’ensemble des cylindres.|
MISFFAICTR_vidCataDamageSum|G|();|FCT3.4|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction additionne les dommages causés au catalyseur par tous les misfires détectés (sauf en cas de coupure d’injection) sur l’ensemble des cylindres.|
MISFFAICTR_vidCataEmissPerCyl|D|();|FCT5.1|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction permet :  D’attribuer les dommages causés au catalyseur par les misfires pour chaque cylindre.   De compter pour chaque cylindre le nombre de misfires « émission ».|
MISFFAICTR_vidCataRoughRdEmisCnt|C|();|FCT4.8|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction somme le pic lié à la mauvaise route pour la stratégie émission excessive de polluant.|
MISFFAICTR_vidCataRoughRoadCnt|C|();|FCT1.7|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction somme le pic lié à la mauvaise route pour la stratégie dommage catalyseur.|
MISFFAICTR_vidCatDamCylCalc|F|();|FCT4.1|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|En 4 cylindres, il est interdit de couper 2 cylindres consécutifs en cas de panne Dephia ou AAC. Si cela se produit les booléens de défaut dommages catalyseurs sont remis à zéros.|
MISFFAICTR_vidCatDamWghtRealCnt|B|();|FCT3.3|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Dans cette fonction  est réalisée le vecteur somme des poids des misfires réels.|
MISFFAICTR_vidCatDmgCylCutMgt|B|();|FCT1.4|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction effectue la production de Misf_bAcvDetDmgCat qui active le comptage des défauts émissions excessives de polluants.|
MISFFAICTR_vidEmission|C|();|FCT5.6|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction permet si la mauvaise route est détectée  Mf_rough_road_emiss_sum_uavn0 = Mf_rough_road_emiss_thresh_uacn0.|
MISFFAICTR_vidEmissRealCount|B|();|FCT6.9|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Les misfires détectés sur des cylindres dont l’injection est coupée sont écartés afin de ne pas fausser la détection|
MISFFAICTR_vidEmissSum|E|();|FCT6.2|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction fait la somme des misfires « émission » détectés sur l’ensemble des cylindres pour l’horizon « émission » de 2000.|
MISFFAICTR_vidEssenceDefault|F|();|FCT7.2|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Ce bloc détermine la gestion des défauts de ratés de combustion durant le fonctionnement en essence.|
MISFFAICTR_vidFailDetCatDam|F|();|FCT1.3|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|cette fonction effectue ses calculs à récurrence Misf_EveMisf.|
MISFFAICTR_vidFailDetCatDamage|E|();|FCT1.5|MISFFAICTR|0|PTS_DOC_5069596||||0|0|0|0|Cette fonction  effectue ses calculs à récurrence Misf_EveMisf:  Comptage de panne « destruction du catalyseur » dès lors que les conditions d’activations des algorithmes sont vérifiées.|
