Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0||
Misf_EveMisf_MisfDet|C|();|SCH.2|MISFDET|1|PTS_DOC_5158467||||0|0|0|0|Evènement lié à l'interruption logicielle de fin d'acquisition de la fenêtre misfire|
MISFDET_vidAlgoConTempo|B|();|FCT2.9|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc vérifie si les conditions de stabilité sont vérifiées pour que la stratégie de détection puisse être activée.|
MISFDET_vidAlgoDetCalc|B|();|FCT1.4|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc est actif dès lors que les conditions de stabilité et d’autres portant sur divers paramètres sont vérifiées, le booléen Mf_algo_cond_ok_uavb0 étant alors à 1|
MISFDET_vidAlgoOutput|B|();|FCT1.7|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc gère la stratégie de détection par l’algorithme combustion selon le régime et la stratégie de détection par l’algorithme P filtre|
MISFDET_vidCalcHalfRev|A|();|FCT2.1|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Le calcul d’une durée moyenne des 4 derniers demi-tours moteur pour un moteur 4 cylindres, 3 derniers demitours moteur pour un moteur 3 cylindres|
MISFDET_vidCombAlgo|B|();|FCT1.6|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc calcule la sortie de l’algorithme « combustion », ainsi que l’erreur introduite par les défauts géométriques de la cible régime moteur|
MISFDET_vidCombAlgoThresh|D|();|FCT2.3|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Calcul du seuil de l’algorithme combustion (dépend du couple indiqué et du régime)|
MISFDET_vidCombDet|A|();|FCT2.2|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Calcul de l'indice de confiance en la détection de misfire par l'algorithme combustion|
MISFDET_vidCondGlobalStab|A|();|FCT2.6|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc vérifie si les conditions de fonctionnement globales sont vérifiées pour que la stratégie de détection puisse être activée.|
MISFDET_vidCondStabIdle|A|();|FCT2.8|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc vérifie si les conditions de fonctionnement spécifiques pour l’algorithme ralenti sont vérifiées pour que la stratégie de détection puisse être activée.|
MISFDET_vidCondStabNormal|A|();|FCT2.7|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc vérifie si les conditions de fonctionnement spécifiques pour l’algorithme hors ralenti sont vérifiées pour que la stratégie de détection puisse être activée.|
MISFDET_vidEntryInit|C|();|SCH.1|MISFDET|1|PTS_DOC_5158467||||0|0|0|0|Evènement reset du calculateur|
MISFDET_vidInitOutput|C|();|FCT1.1|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Initialisation des sorties|
MISFDET_vidMisfDet|C|();|FCT1.2|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Les sorties des algorithmes seront calculés dans le cas où les conditions de détection de misfire sont ok ou dans le cas où les conditions d’apprentissage de l’algorithme combustion sont ok|
MISFDET_vidMisfStabCond|I|();|FCT1.3|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc vérifie si les conditions de fonctionnement(Tp eau, Tp air, régime, CMI, vitesse véhicule...) et de stabilité sont vérifiées pour que la stratégie de détection puisse être activée|
MISFDET_vidPfiltAlgo|C|();|FCT1.5|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Ce bloc calcul la sortie brute de l’algorithme « P_filtre »|
MISFDET_vidPfiltAlgoThresh|D|();|FCT2.5|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Calcul du seuil de l’algorithme P filtre (dépend du régime et du couple indiqué )|
MISFDET_vidPfiltDet|A|();|FCT2.4|MISFDET|0|PTS_DOC_5158467||||0|0|0|0|Calcul de l'indice de confiance en la détection de misfire par l'algorithme P_filte|
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0||
