Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Cstr_EveRst_CstrDynLim|C|();|SCH.1|CSTRDYNLIM|1|PTS_DOC_5205503||||0|0|0|0|Evénement reset du calculateur|
Cstr_SdlMid_CstrDynLim|C|();|SCH.2|CSTRDYNLIM|1|PTS_DOC_5205503||||0|0|0|0|Moniteur moyen|
CSTRDYNLIM_vidAirMaxCta|B|();|FCT1.6|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Pour  ne  pas  avoir  de  surrégime  sur  lâcher  de  pied,  on  veut  limiter  la  contribution  de  la  purge à Cpc_max_amfr_thresh du débit d'air entrant dans le papillon.|
CSTRDYNLIM_vidCurPurgeRat|B|();|FCT1.3|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Le taux de purge courant est calculé en fonction du débit papillon et du débit gaz de la purge.|
CSTRDYNLIM_vidCurRat|B|();|FCT1.9|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|calcul de la variable Cpc_max_purge_ratio|
CSTRDYNLIM_vidDynLimClc|C|();|FCT1.2|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Tous les calculs se font au réveil ECU (Cstr_EveRst_CstrDynLim) et à la récurrence du moniteur moyen (Cstr_SdlMid_CstrDynLim).|
CSTRDYNLIM_vidFuMaxCta|C|();|FCT1.4|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Afin  de  préserver  l’autorité  de  la  régulation  de  richesse,  tout  en  purgeant  au maximum  le  canister,  on  veut limiter la contribution en essence de la purge à Cpc_fuel_constraint_max .|
CSTRDYNLIM_vidInitOutput|B|();|FCT1.1|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Initialisation des sorties|
CSTRDYNLIM_vidInjMinCta|D|();|FCT1.5|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Le débit maximal pour permettre un temps d'injection Tmin|
CSTRDYNLIM_vidLsclCta|C|();|FCT1.7|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|L'objectif de ce processus est de calculer 'au mieux' l'évolution du taux de purge|
CSTRDYNLIM_vidNullRat|B|();|FCT1.8|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|calcul de la variable Cpc_max_purge_ratio|
CSTRDYNLIM_vidPrgDecRat|C|();|FCT2.1|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|calcul de la variable Cpc_max_purge_ratio|
CSTRDYNLIM_vidPrgIncRat|B|();|FCT1.10|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|calcul de la variable Cpc_max_purge_ratio|
CSTRDYNLIM_vidPurgeGblCta|C|();|FCT2.2|CSTRDYNLIM|0|PTS_DOC_5205503||||0|0|0|0|Ce processus utilise les contraintes spécifiques pour générer la contrainte globale en débit qui est ensuite  convertie en taux de purge.|
