Référence_spécification|indice_spécification|intitulé|Validate|Remove
None|1|None|0|0
NONE||none|0|0
PTS DOC 5015877|02|MANAGER DES ÉTATS DE LA STRUCTURE COUPLE|0|0
PTS DOC 5031545|01|pmphal software component design document|0|0
PTS DOC 5038320||TDCHAL SOFTWARE COMPONENT DESIGN DOCUMENT VERSIONS F1_X.X.X|0|0
PTS_DOC_5010777|02|Gestion du ralenti|0|0
PTS_DOC_5012137|1|MOS Software Component Design Document F1_X.X.X
PTS_DOC_5012623|01|GD/GAR AUTOSAR Interface|0|0
PTS_DOC_5012852|01|DIAGNOSTIC DERIVEE TENSION SONDE A OXYGENE AVAL|0|0
PTS_DOC_5012863|01|DIAGNOSTIC DE LA SONDE A OXYGENE AMONT|0|0
PTS_DOC_5021748|03|Calcul de l’enfoncement de la pédale d’accélérateur pour Easy Move|0|0
PTS_DOC_5049983|01|Safety TMS: sécuriser consigne ralenti|0|0
PTS_DOC_5050415|01|Safety TMS : Interface TMS|0|0
PTS_DOC_5050499|01|surveillance de la position embrayage continue|0|0
PTS_DOC_5050542|02|Sécuriser pression admission|0|0
PTS_DOC_5050596|02|Estimation de la température d'huile|0|0
PTS_DOC_5050623|01|safety tms : comparer les couples|0|0
PTS_DOC_5059533|05|CORRECTION RAPIDE D’AVANCE ANTI-CLIQUETIS|0|0
PTS_DOC_5060895|03|Test de coupure du driver throttle par le microcontrolleur watchdog|0|0
PTS_DOC_5060905|03|Structure d'Accueil IMMO (SAIMMO)|0|0
PTS_DOC_5060915|04|ASSERVISSEMENT DU DECALAGE VVT ADMISSION|0|0
PTS_DOC_5060920|04|ASSERVISSEMENT DU DECALAGE VVT ECHAPPEMENT|0|0
PTS_DOC_5066552|07|KNOCK SIGNAL PROCESSING WITH A BAND-PASS FILTER AND INTERFACE WITH BSW|0|0
PTS_DOC_5066621|02|Knock signal acquisition parameter configuration|0|0
PTS_DOC_5066966|07|ESTIMATEUR DE LA CONCENTRATION EN VAPEURS D’ESSENCE DES GAZ ISSUS DE LA PURGE CANISTER|0|0
PTS_DOC_5066987|01|TEST ACTIONNEUR CONSIGNE DE RICHESSE|0|0
PTS_DOC_5068282|05|DETECTION DE CLIQUETIS|0|0
PTS_DOC_5068340|09|RUMBLE DETECTION|0|0
PTS_DOC_5068500|07|Configuration flow Management|1|0
PTS_DOC_5068508|06|MANAGEMENT OF THE CONFIGURABLE INFORMATION FLOW|0|0
PTS_DOC_5068534|02|Dump Valve Functional Diagnosis|0|0
PTS_DOC_5068685|06|L9781 SOFTWARE COMPONENT DESIGN DOCUMENT|0|0
PTS_DOC_5069555|06|APPRENTISSAGE DES DEFAUTS MISFIRE|0|0
PTS_DOC_5069596|03|Comptage Des Misfires Pour Les Emissions De Polluants Et La Protection Composants|0|0
PTS_DOC_5070689|02|WASTEGATE SOLENOID VALVE COMMAND SETPOINT|0|0
PTS_DOC_5070705|03|Functional Diagnosis of WASTE GATE|0|0
PTS_DOC_5070969|02|Diagnostic fonctionnel de la température d’admission d’air.|0|0
PTS_DOC_5074345|4|définition des services constructeurs (UDS)|0|0
PTS_DOC_5074350|4|Service Routine Control|0|0
PTS_DOC_5074355|02|MANAGEUR DES TESTS ACTIONNEURS|1|0
PTS_DOC_5074365|02|PROCEDURE DE TELECODAGE SECURISE|1|0
PTS_DOC_5074440|02|Post Equipment|1|0
PTS_DOC_5074571|05|CALCUL DE LA CONSIGNE D’AIRE PAPILLON HORS STRUCTURE COUPLE|0|0
PTS_DOC_5074748|01|VOLTAGE BOOST REQUEST FOR INJECTION SYSTEM|0|0
PTS_DOC_5075312|05|GD External Interface|0|0
PTS_DOC_5075367|01|REGULATORY OBD INDICATORS|0|0
PTS_DOC_5075502|03|GESTIONNAIRE OBD|0|0
