Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|15|HEADER|1|NONE||||0|0|0|0||
VlvAct_EveInCmToo_InIf|G|();|SCH.2|VLVACTINIF|1|PTS_DOC_5320155||||0|0|0|0|Evènement dent AAC admission|
VlvAct_EveRst_InIf|B|();|SCH.1|VLVACTINIF|1|PTS_DOC_5320155||||0|0|0|0|Evènement reset du calculateur .|
VlvAct_SdlFast_InIf_1|C|();|SCH.3|VLVACTINIF|1|PTS_DOC_5320155||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VlvAct_SdlFast_InIf_2|C|();|SCH.4|VLVACTINIF|1|PTS_DOC_5320155||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VlvAct_SdlFast_InIf_3|B|();|SCH.5|VLVACTINIF|1|PTS_DOC_5320155||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VLVACTINIF_vidCalcSatSetpoint|C|();|FCT1.9|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|En cas d’incursion en dehors de la plage fonctionnelle définie par les calibrations, on renvoie à la boucle d’air les valeurs des consignes saturées qui sont mises  toutes  les deux à la même valeur de reconfiguration.|
VLVACTINIF_vidCmOfsCmp|E|();|FCT1.4|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|Le calcul du décalage de montage de l’ensemble cible AAC + actionneur VVT est déterminé lorsque l’ensemble des dents de la cible AAC sont décalés dans le même sens par rapport à leur position théorique dans le référentiel moteur.|
VLVACTINIF_vidInitialisation|B|();|FCT1.2|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|Initialisation des sorties.|
VLVACTINIF_vidInitOutput|J|();|FCT1.1|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|Initialisation des sorties|
VLVACTINIF_vidVlvActCmToothOfs|D|();|FCT1.5|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|Calcul du parametre VlvAct_agCkInCmToothOfs|
VLVACTINIF_vidVlvActOfsCmp|E|();|FCT1.6|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|Lorsqu’il est activé, ce bloc permet d’estimer le décalage de montage de l’actionneur VVT à partir de l’offset de décalage constaté pour l’ensemble cible AAC + actionneur VVT|
VLVACTINIF_vidVVTDiagInhFlagCal|C|();|FCT1.10|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|On parle de croissement de soupape lorsque le RFE a lieu avant l’ AOA et si la différence des pression admission et échappement est supérieure à un seuil auquel cas le booléen indiquant un balayage des soupapes est positionné à 1.|
VLVACTINIF_vidVVTPosition|I|();|FCT1.7|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|La position réelle d’ouverture des soupapes d’admission dans le référentiel moteur est calculée à partir de la valeur estimée du décalage d’AAC, issue de la loi de commande VVT admission.|
VLVACTINIF_vidVVTSetpoint|N|();|FCT1.8|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|La consigne de décalage AAC admission, utilisée par la loi de commande VVT admission est calculée à partir de la consigne en position d’ouverture des soupapes à l’admission dans le référentiel moteur.|
VLVACTINIF_vidVVTToothErrDet|C|();|FCT1.3|VLVACTINIF|0|PTS_DOC_5320155||||0|0|0|0|Le calcul des erreurs de géométrie ainsi que des offsets de décalage de montage de la cible et de l’actionneur VVT est effectué après chaque apprentissage des butées de repos.|
