Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
Fisa_EveInit|A|();|SCH.1|FISARFUDET|1|V02 NT 08 07467||||0|0|0|0|Evénement init
Fisa_EveKOn_FisaRFuDet|C|();|SCH.2|FISARFUDET|1|V02 NT 08 07467||||0|0|0|0|Evénement associé au passage de clef OFF à clef ON
Fisa_EveRTSt_FisaRFuDet|C|();|SCH.1|FISARFUDET|1|V02 NT 08 07467||||0|0|0|0|Evénement correspondant au passage à 0 de la variable Moteur_tournant
Fisa_EveTDC_FisaRFuDet|C|();|SCH.3|FISARFUDET|1|V02 NT 08 07467||||0|0|0|0|Interruption PMH
FISARFUDET_vidArretMoteur|A|();|FCT1.2|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet de retourner le volume carburant à la coupure moteur
FISARFUDET_vidCalcCoefLissage|A|();|FCT1.7|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|remise à jour à chaque détection de remplissage carburant de la valeur  de reset du coefficient de qualité carburant
FISARFUDET_vidCalcConsoDepRempl|A|();|FCT1.8|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|Cette fonction  permet l’évaluation du volume d'essence consommée sans prendre en compte la purge canister à 80  mm3 près .
FISARFUDET_vidCalculDelta|A|();|FCT1.4|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet de détecter le remplissage du réservoir
FISARFUDET_vidCalculValeursReset|A|();|FCT1.5|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet la demande de reset après détection de plein
FISARFUDET_vidClefOn|A|();|FCT1.3|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet de determiner le Volume carburant au key on
FISARFUDET_vidCndCalcCoefLissage|A|();|FCT1.6|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet l'activation du bloc 1_Calcul_coefficient_lissage
FISARFUDET_vidConsomDepuisPlein|A|();|FCT1.9|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet de calculer la quantité de carburant consommée depuis le remplissage du réservoir ainsi elle demande la reset après détection de plein
FISARFUDET_vidInit|B|();|FCT1.1|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|Fonction d'initialisation des variables EEPROM
FISARFUDET_vidResetCoefEffectue|A|();|FCT1.10|FISARFUDET|0|V02 NT 08 07467||||0|0|0|0|cette fonction permet de mettre à zero les informations de remplissage et de demande de reset après detection du plein
