Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
AccP_EveRst_AccPMngModSec|A|();|SCH.1|ACCPMNGMODSECU|1|PTS_DOC_7317422||||0|0|0|0|ECU reset
AccP_SdlFast_AccPMngModSec|A|();|SCH.2|ACCPMNGMODSECU|1|PTS_DOC_7317422||||0|0|0|0|Fast scheduler
ACCPMNGMODSECU_vidComputeAccPMng|A|();|FCT1.3|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|This function determines the calculation of the position of the accelerator pedal with the request of the driver.
ACCPMNGMODSECU_vidInit|A|();|FCT1.1|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|All the secured pedal positions are set to 0 at the ECU reset.The secured pedal state is considered as nominal mode.
ACCPMNGMODSECU_vidInitOutput|A|();|FCT1.2|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|Initialisation des variables de sorties.
ACCPMNGMODSECU_vidMngPosSecu|A|();|FCT1.5|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|For the secured gas pedal position, there are 8 modes. The transitions between all these modes depend on the failures on the gas pedal (coherency failure, stuck failure, electrical failures).
ACCPMNGMODSECU_vidPedalPosfilter|A|();|FCT1.6|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|In order to ensure the continuity of the gas pedal position, a slew rate is applied.  AccP_rGrdAccP represents the gradient of the pedal position.
ACCPMNGMODSECU_vidPedalPosInCalc|A|();|FCT1.4|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|Some intermediary variables are calculated: AccP_bPsenPctlEl, AccP_bPsenNoDftEl, AccP_bPsenOneDftEl ,AccP_bPsenNoBoothDftEl, AccP_bCohPctl, AccP_bCohPSenPctl.
ACCPMNGMODSECU_vidStateTransit|A|();|FCT1.8|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|Inclut le traitement relatif au transitions entre ces modes
ACCPMNGMODSECU_vidStuckPedalPos|A|();|FCT1.7|ACCPMNGMODSECU|0|PTS_DOC_7317422||||0|0|0|0|Depending  on  the  failures  on  the  gas  pedal  the  pedal  position  used  for  the  stuck  pedal  diagnosis (AccP_rAccPFctMon) can take several values.
GDGAR_bGetFRM|A|func_FRM_bGetFRM|2|HEADER|1|NONE||||0|0|0|0|Get FRM Value
GDGAR_tenuGetStDgo|A|func_GDGAR_tenuGetStDgo|1|HEADER|1|NONE||||0|0|0|0|Value of the GDU states
SWFAIL_vidSoftwareErrorHook|A|();|3|HEADER|1|NONE||||0|0|0|0|
