Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|API.2|HEADER|1|NONE||||0|0|0|0||
GDGAR_vidGdu|B|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|API.1|HEADER|1|NONE||||0|0|0|0||
Misf_EveMisf_MisfDftLrn|L|();|SCH.3|MISFDFTLRN|1|PTS_DOC_5069555||||0|0|0|0|Evènement lié à l'interruption logicielle de fin d'acquisition de la fenêtre misfire.|
Misf_EveRst_MisfDftLrn|G|();|SCH.1|MISFDFTLRN|1|PTS_DOC_5069555||||0|0|0|0|Evènement Reset du calculateur|
Misf_EveRstLrn_MisfDftLrn|A|();|SCH.4|MISFDFTLRN|1|PTS_DOC_5069555||||0|0|0|0|Evènement Reset adaptatifs Misfire|
Misf_SdlSlow_MisfDftLrn|I|();|SCH.2|MISFDFTLRN|1|PTS_DOC_5069555||||0|0|0|0|Moniteur lent de la fonction Misf|
MISFDFTLRN_vid1stLwAdapOnBkpt|F|();|FCT4.1|MISFDFTLRN|0|PTS_DOC_5069555||||0|0|0|0|Ce module écrit le nombre d’apprentissages réalisés sur ce point d’appui .|
MISFDFTLRN_vid1stShrtAdapOnBkpt|F|();|FCT5.1|MISFDFTLRN|0|PTS_DOC_5069555||||0|0|0|0|Ce module écrit le nombre d’apprentissages réalisés sur ce point d’appui.|
MISFDFTLRN_vidAdapLwNoRlzd|C|();|FCT6.9|MISFDFTLRN|0|PTS_DOC_5069555||||0|0|0|0|Initialiser l'Indicateur de non apprentissage (en eeprom, fenêtres longues) .|
MISFDFTLRN_vidAdapLwRlzdNoUt|A|();|FCT4.4|MISFDFTLRN|0|PTS_DOC_5069555||||0|0|0|0|Remise à zero de Mf_adap_lw_no_rlzd_uavb0|
MISFDFTLRN_vidAdapLwRlzdUt|A|();|FCT4.5|MISFDFTLRN|0|PTS_DOC_5069555||||0|0|0|0|Remise à zero de Mf_adap_lw_no_rlzd_UT_uavb0|
MISFDFTLRN_vidAdapLwRstNoUt|A|();|FCT4.9|MISFDFTLRN|0|PTS_DOC_5069555||||0|0|0|0|Remise à 1 de Mf_adap_lw_no_rlzd_uavb0|
