Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|15|HEADER|1|NONE||||0|0|0|0||
VlvAct_EveExCmToo_ExIf|J|();|SCH.2|VLVACTEXIF|1|PTS_DOC_5320145||||0|0|0|0|Evènement dent AAC échappement|
VlvAct_EveRst_ExIf|C|();|SCH.1|VLVACTEXIF|1|PTS_DOC_5320145||||0|0|0|0|Fonction d'accroche moniteur à l'évenement Reset|
VlvAct_SdlFast_ExIf_1|H|();|SCH.3|VLVACTEXIF|1|PTS_DOC_5320145||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VlvAct_SdlFast_ExIf_2|H|();|SCH.4|VLVACTEXIF|1|PTS_DOC_5320145||||0|0|0|0|Moniteur rapide pour la fonction VVT|
VLVACTEXIF_vidCalcSatSetpoint|F|();|FCT1.9|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|En cas d’incursion en dehors de la plage fonctionnelle définie par les calibrations, on renvoie à la boucle d’air les valeurs des consignes saturées qui sont mises  toutes  les deux à la même valeur de reconfiguration.|
VLVACTEXIF_vidCmOfsCmp|F|();|FCT1.4|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|Le calcul du décalage de montage de l’ensemble cible AAC + actionneur VVT est déterminé lorsque l’ensemble des dents de la cible AAC sont décalés dans le même sens par rapport à leur position théorique dans le référentiel moteur.|
VLVACTEXIF_vidInitialisation|C|();|FCT1.2|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|initialisations des sorties.|
VLVACTEXIF_vidInitOutput|H|();|FCT1.1|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|Initialisation des sorties|
VLVACTEXIF_vidVlvActCmToothOfs|D|();|FCT1.5|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|Calcul du parametre VlvAct_agCkExCmToothOfs|
VLVACTEXIF_vidVlvActOfsCmp|E|();|FCT1.6|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|Lorsqu’il est activé, ce bloc permet d’estimer le décalage de montage de l’actionneur VVT à partir de l’offset de décalage constaté pour l’ensemble cible AAC + actionneur VVT|
VLVACTEXIF_vidVVTPosition|H|();|FCT1.7|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|La position réelle de fermeture des soupapes d’échappement dans le référentiel moteur est calculée à partir de la valeur estimée du décalage d’AAC, issue de la loi de commande VVT échappement.|
VLVACTEXIF_vidVVTSetpoint|S|();|FCT1.8|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|La consigne de décalage AAC échappement, utilisée par la loi de commande VVT échappement est calculée à  partir de la consigne en position de fermeture des soupapes à l’échappement dans le référentiel moteur.|
VLVACTEXIF_vidVVTToothErrDet|C|();|FCT1.3|VLVACTEXIF|0|PTS_DOC_5320145||||0|0|0|0|Le calcul des erreurs de géométrie ainsi que des offsets de décalage de montage de la cible et de l’actionneur VVT est effectué après chaque apprentissage des butées de repos.|
