Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
CrsCtl_EveRst_CrsCtlInTreatIf|B|();|SCH.1|CRSCTLINTREATIF|1|V02 NT 11 06065||||0|0|0|0|Evenement reset.|
CrsCtl_SdlFast_CrsCtlInTreatIf|B|();|SCH.2|CRSCTLINTREATIF|1|V02 NT 11 06065||||0|0|0|0|Evenement moniteur rapide|
CrsCtl_SdlSlow_CrsCtlInTreatIf|A|();|SCH.3|CRSCTLINTREATIF|1|V02 NT 11 06065||||0|0|0|0|Evenement SdlSlow|
CRSCTLINTREATIF_vid3ADTreatIf|A|();|FCT1.5|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Fonction qui permet le calcul de Freinage dynamique en cours (0 = Pas en cours / Faux 1 = En cours / Vrai)|
CRSCTLINTREATIF_vid44DTreatIf|E|();|FCT1.6|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Cette fonction génère la variable Régime moyen roues avant par recopie du paramètre P354 provenant du CAN.|
CRSCTLINTREATIF_vid50DTreatIf|B|();|FCT1.4|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Cette fonction génère la variable Régulation ABS par recopie du paramètre P351 provenant du CAN.|
CRSCTLINTREATIF_vidAuth_clc|C|();|FCT1.8|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Cette fonction permet de calculer le flag d’initialisation «ECU_bAuthVSCtlIni ».|
CRSCTLINTREATIF_vidCrsctl|C|();|FCT1.9|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Cette fonction génère la consigne de vitesse BVV|
CRSCTLINTREATIF_vidCrsCtl_Can|A|();|FCT1.3|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Fonction qui permet l’initialisation  du flag ECU_bAuthVSCtlIni .|
CRSCTLINTREATIF_vidInit|A|();|FCT1.1|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Fonction qui permet l'initialisation des sorties.|
CRSCTLINTREATIF_vidInitOutput|A|();|FCT1.2|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|Fonction qui permet l'initalisation des variables.|
CRSCTLINTREATIF_vidOutClunGearEg|D|();|FCT1.7|CRSCTLINTREATIF|0|V02 NT 11 06065||||0|0|0|0|cette fonction génére la detection débrayage et le rapport engagé.|
