Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
EngReqH_SdlFast_EngReqH|B|();|SCH.3|ENGREQH|1|V02 NT 09 05960||||0|0|0|0|Fonction d'accroche au moniteur 10ms|
EngReqH_SdlMid_EngReqH|B|();|SCH.2|ENGREQH|1|V02 NT 09 05960||||0|0|0|0|Scheduler intermédiaire|
ENGREQH_vidAutorisMoteurSTOP|C|();|FCT3.6|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction fait la synthèse de toutes les demandes moteur autorisant le STOP. Chaque demande extérieure peut être désactivée par calibration.|
ENGREQH_vidChoixTemperatureAir|E|();|FCT2.2|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système fait partie de l’autorisation de stop en fonction du couple température d’air / température d’eau.Il permet de sélectionner au choix une température d’air.|
ENGREQH_vidConditionRegimeMoteur|D|();|FCT3.8|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|La condition de redémarrage autonome lors d’une phase d’arrêt STT est autorisée si le régime moteur est supérieur à un seuil fonction de la température moteur et de la pression atmosphérique.|
ENGREQH_vidCondNombrePMHRestant|B|();|FCT3.9|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|La condition de redémarrage autonome lors d’une phase d’arrêt STT est autorisée si le nombre de PMH restant  avant l’atteinte du régime nul est supérieur ou égal à un seuil.|
ENGREQH_vidCondPresHuileAutoStop|C|();|FCT2.10|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise le STOP au bout d’une temporisation débutant après un seuil de pression d’huile franchi suite à un démarrage/redémarrage.|
ENGREQH_vidCondRedemaAutonomeSTT|B|();|FCT3.7|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction calcule la condition de redémarrage autonome lors d’une phase d’arrêt STT.|
ENGREQH_vidCondRedemarrAutonome|C|();|FCT3.10|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|La condition de redémarrage autonome est calculée à partir des deux conditions calculées précédemment, ainsi  qu’en fonction de l’état de fonctionnement du moteur.|
ENGREQH_vidCondSeuilBasTempCatal|D|();|FCT2.6|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie fonctionnelle d’autorisation du stop en fonction de la température du catalyseur.|
ENGREQH_vidCondSeuilHautTempCata|C|();|FCT2.7|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction surveille la température catalyseur par rapport à un seuil haut. La condition  peut être forcée à 1 par  calibration ou en cas de défaillance sur la température catalyseur.|
ENGREQH_vidCondSondLambdaAutStop|C|();|FCT1.9|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise le STOP si les sondes à oxygène amont et aval du catalyseur sont prêtes depuis une temporisation calibrable.On peut désactiver, par calibration, la condition sur chacune des sondes.|
ENGREQH_vidCondTempCatalyAutStop|B|();|FCT2.5|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise le STOP fonction de la température du catalyseur. Elle comprend une partie instaurant une limite basse, une autre une limite haute et une partie dysfonctionnelle.|
ENGREQH_vidCondTempEauAutoriStop|B|();|FCT1.2|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise le STOP à partir de l’observation de la température eau moteur. Elle comprend une partie fonctionnelle et une dysfonctionnelle.|
ENGREQH_vidCondTemperAirAutoStop|C|();|FCT2.1|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise du STOP en fonction de règles liées à la température d’air et de la température moteur. Cette fonction est composée de 3 sous systèmes: sélection de la température, partie fonctionnelle, partie dysfonc- tionnelle.|
ENGREQH_vidCondTempHuileAutoStop|B|();|FCT1.5|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise le STOP en fonction de la température d’huile. Elle comprend une partie fonctionnelle et une dysfonctionnelle.|
ENGREQH_vidConTempCarTurbAutStop|D|();|FCT2.9|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système calcule l’autorisation du stop en fonction de la température carter turbine. On autorise le stop si la température du carter turbine est inférieure à un seuil calibrable.|
ENGREQH_vidCriticPresAtmospheriq|B|();|FCT4.2|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction détecte une condition critique sur la pression atmosphérique pour le démarrage du moteur.|
ENGREQH_vidDemandeRedemarrage|B|();|FCT3.2|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction fait la synthèse de toutes les demandes de redémarrage STT.|
ENGREQH_vidEntryInit|C|();|SCH.1|ENGREQH|1|V02 NT 09 05960||||0|0|0|0|Fonction d'accroche Reset.|
ENGREQH_vidFiltreRegimeMoteur|B|();|FCT4.1|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce bloc permet de sélectionner le régime moteur utilisé pour le calcul de la condition de redémarrage autonome.|
ENGREQH_vidInitOutput|D|();|FCT1.1|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Initialisation des variables de sortie.|
ENGREQH_vidObserTempsMinimumStop|D|();|FCT3.5|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction interdit l’émission d’une demande de redémarrage STT tant que le système n’est pas resté un temps  minimum calibrable en phase de STOP.|
ENGREQH_vidPartieDisfoncTempAir|B|();|FCT2.4|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie dysfonctionnelle d’autorisation du STOP en fonction du couple température d’air / température d’eau. Par calibration, elle offre plusieurs possibilités de reconfiguration.|
ENGREQH_vidPartieDisfoncTempCata|B|();|FCT2.8|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|partie_disfonctionnelle_seuil_bas_temperature_catalyseur .|
ENGREQH_vidPartieDisfoncTempEau|A|();|FCT1.4|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie dysfonctionnelle d’autorisation de STOP en fonction de la température d’eau moteur. Elle est activée sur un booléen de reconfiguration en cas de défaillance sur la température d’eau.|
ENGREQH_vidPartieDisfonTempHuile|A|();|FCT1.7|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie dysfonctionnelle d’autorisation de STOP en fonction de la température d’huile mo- teur. Elle est activée sur un booléen de reconfiguration en cas de défaillance sur la température d’huile.|
ENGREQH_vidPartieFonctionTempAir|A|();|FCT2.3|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie fonctionnelle de la fonction d’autorisation du stop sur des conditions liées au couple  température d’air / température d’eau.|
ENGREQH_vidPartieFonctionTempEau|B|();|FCT1.3|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie fonctionnelle d’autorisation du stop en fonction de la température d’eau moteur. On autorise le stop si la température moteur est comprise entre 2 seuils calibrables.|
ENGREQH_vidPartieFonctTempHuile|B|();|FCT1.6|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Ce sous système est la partie fonctionnelle de la fonction d’autorisation du stop en fonction de la température d’huile. Dans ce sous système, on autorise le stop si la température d’huile est comprise entre 2 seuils calibrables.|
ENGREQH_vidRedemBesoinThermCapot|B|();|FCT3.3|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction émet un besoin de redémarrage STT à  partir de l’information en provenance de la fonction de  gestion de la thermique sous capot.|
ENGREQH_vidRedemSeuilTempEssence|D|();|FCT3.4|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction surveille la température d’essence par rapport à un seuil haut. Si ce seuil est dépassé durant une  phase de STOP, un redémarrage STT est demandé.|
ENGREQH_vidSelectActivFonctions|B|();|FCT3.1|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction permet de désactiver par calibration chacune des conditions d’autorisation du STOP. Sur demande d’un outil test de fin d’assemblage, une sélection calibrable des conditions d’autorisation peut être réalisée.|
ENGREQH_vidTempoDemarrageAutStop|C|();|FCT1.8|ENGREQH|0|V02 NT 09 05960||||0|0|0|0|Cette fonction autorise le STOP au bout d’une temporisation débutant avec l’entrée en phase engine_running suite  à un démarrage/redémarrage.|
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0||
