Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
Clu_EveRst_CluPedFreqAcq|E|();|SCH.1|CLUPEDFREQACQ|1|PTS_DOC_6562175||||0|0|0|0|Evénement reset du calculateur
Clu_SdlFast_CluPedFreqAcq|D|();|SCH.2|CLUPEDFREQACQ|1|PTS_DOC_6562175||||0|0|0|0|Fonction d'accroche moniteur Clu_SdlFast_CluPedFreqAcq
Clu_SdlSfty_rCluPedPrssMes|C|();|SCH.3|CLUPEDFREQACQ|1|PTS_DOC_6562175||||0|0|0|0|Fonction d'accrochage moniteur Clu_SdlSfty_rCluPedPrssMes.
CLUPEDFREQACQ_vidAcvCall|C|();|FCT1.5|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Fonction  qui fait appel aux fonctions dont l'occurrence est Clu_SdlMid_CluPedFreqAcq et actives quand FlowMng_bCluPropSnsrEna = 1.
CLUPEDFREQACQ_vidCluPedAcq|E|();|FCT1.2|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|L’acquisition du signal est réalisée de façon temporelle, conformément à l’exigence cliente et débutera dès le réveil du calculateur.
CLUPEDFREQACQ_vidCluPedDiag|B|();|FCT1.3|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc énumère les différents court circuits ( à la masse, au plus) et les gradients qui engendrent un défaut sur le capteur d’embrayage. Les critères de diagnostics ne sont pas évalués si les conditions de diagnostics ne sont pas présentes.
CLUPEDFREQACQ_vidCluPedLnr|B|();|FCT2.3|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Linéarisation et saturation de l'information pédale d'embrayage proportionnelle
CLUPEDFREQACQ_vidCluPedSel|B|();|FCT1.4|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc permet de mesurer l'enfoncement pédale d'embrayage acquis par le CMM.
CLUPEDFREQACQ_vidDiagFreq|B|();|FCT1.7|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc énumère les différents court circuits ( à la masse, au plus) et les gradients qui engendrent un défaut sur le capteur d’embrayage.
CLUPEDFREQACQ_vidDiagGrad|B|();|FCT1.8|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc énumère les différents court circuits ( à la masse, au plus) et les gradients qui engendrent un défaut sur le capteur d’embrayage.
CLUPEDFREQACQ_vidDiagnosticniv2|C|();|FCT2.2|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Les diagnostics de niveau 2 sont ajoutés pour sécuriser le diagnostic
CLUPEDFREQACQ_vidGDUFreq|C|();|FCT1.9|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc définit les appels au GDU pour les défauts de type court circuit
CLUPEDFREQACQ_vidGDUGrad|C|();|FCT2.1|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc définit les appels au GDU pour les défauts de type gradient
CLUPEDFREQACQ_vidInit|E|();|FCT1.1|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Ce bloc permet d’initialiser la position embrayage au key-on quand le capteur n’est pas encore fonctionnel.
CLUPEDFREQACQ_vidOSCallAcv|C|();|FCT1.6|CLUPEDFREQACQ|0|PTS_DOC_6562175||||0|0|0|0|Fonction  qui fait appel aux fonctions dont l'occurrence est Clu_SdlMid_CluPedFreqAcq
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|3|HEADER|1|NONE||||0|0|0|0|Fonction de production des variables GDGAR.
GDGAR_tenuGetStDgo|A|(argin uint16 u16IdxDft)GDFRM_tenuGDUState;|1|HEADER|1|NONE||||0|0|0|0|value of the GDU states.
GDGAR_vidGdu|A|(argin uint16 u16IdxDft,argin boolean bDgo,argin boolean bMonRun,argin boolean Ns_bMonWait);|4|HEADER|1|NONE||||0|0|0|0|
