Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AirT_SdlMid_MonAirT|B|();|SCH.2|AIRTFONCDIAG|1|PTS_DOC_5070969||||0|0|0|0|Moniteur moyen de la fonction AirT|
AIRTFONCDIAG_vidBeforeStartCoh|C|();|FCT1.2|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|Le test de cohérence avec la température d’eau avant démarrage est activé seulement si : 1) Le moteur est arrêté depuis suffisamment longtemps (via l’information reçu du calculateur EMF), 2) Le diagnostic n’est pas inhibé par le GAR.|
AIRTFONCDIAG_vidCohActivDtct|C|();|FCT1.3|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|La détection du défaut revient à constater un écart entre la température d’air et la température d’eau suffisamment important.|
AIRTFONCDIAG_vidEntryInit|B|();|SCH.1|AIRTFONCDIAG|1|PTS_DOC_5070969||||0|0|0|0|Evènement Reset du module AIRTFONCDIAG.|
AIRTFONCDIAG_vidInitOutput|C|();|FCT1.1|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|Fonction d'initialisation des variables internes de la spec.|
AIRTFONCDIAG_vidNegOfsActivDtct|C|();|FCT1.9|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|La détection du défaut revient à tester si la valeur mesurée est en dessous du seuil minimum (calibrable) que doit normalement atteindre l’air dans les conditions d’activation du diagnostic.|
AIRTFONCDIAG_vidNegOfsDtct|D|();|FCT1.8|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|Fonction qui décrit les conditions d'activation du test de l’offset négatif de la température d’admission d’air ( moteur démarré, vitesse véhicule faible, température d’eau élevée, moteur au ralenti, Le diagnostic n’est pas inhibé par le GAR.)|
AIRTFONCDIAG_vidOutRngActivDtct|B|();|FCT1.5|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|La détection du défaut revient à tester avec 2 seuils calibrables (seuil Mini et seuil Maxi) si la valeur mesurée se trouve hors de la zone de fonctionnement normale.|
AIRTFONCDIAG_vidOutRngDtct|C|();|FCT1.4|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|Le test de la valeur hors zone de la température d’admission d’air est activé seulement si le diagnostic n’est pas inhibé par le GAR.|
AIRTFONCDIAG_vidPosOfsActivDtct|B|();|FCT1.7|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|La détection du défaut revient à tester si la valeur mesurée dépasse le seuil maximum (calibrable) que peut normalement atteindre l’air dans les conditions d’activation du diagnostic.|
AIRTFONCDIAG_vidPosOfsDtct|E|();|FCT1.6|AIRTFONCDIAG|0|PTS_DOC_5070969||||0|0|0|0|Le test de l’offset positif de la température d’admission d’air est activé seulement si : La vitesse véhicule est suffisamment élevée depuis un certain délai, le débit d’air massique d’air pompé par le moteur est suffisant, le diagnostic n’est pas inhibé.|
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|3|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|1|HEADER|1|NONE||||0|0|0|0|API permettant d'appeler la fonction de gestion du GDU. Elle verifie les paramètres passés en arguments et si il y un problème, elle sort sans executer la fonction.|
