Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean ;|1|HEADER|1|NONE||||0|0|0|0|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft,argin boolean bDgo,argin boolean bMonRun,argin boolean Ns_bMonWait );|1|HEADER|1|NONE||||0|0|0|0|
Pwr_EveRst_Acq|C|();|SCH.1|PWRSEN_ACQ|1|PTS_DOC_6538484||||0|0|0|0|Evénement reset du calculateur
Pwr_SdlFast_Acq|C|();|SCH.2|PWRSEN_ACQ|1|PTS_DOC_6538484||||0|0|0|0|Moniteur rapide de la fonction ALIM capteurs
Pwr_SdlMid_Acq|C|();|SCH.3|PWRSEN_ACQ|1|PTS_DOC_6538484||||0|0|0|0|Moniteur d'acquistion de la tension ALIM
PWRSEN_ACQ_vidAccP2Cf|B|();|FCT6.4|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de la pédale d'accélération 2
PWRSEN_ACQ_vidAcqDiagVRawMeas1|E|();|FCT1.1|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque le défaut sur l'ALIM 1 est détecté, on fige la valeur envoyée au reste du CMM à la  dernière valeur valide.  Aussi, lorsqu'il est confirmé on applique une valeur par défaut est calibrable à la sortie du  module d'acquisition.
PWRSEN_ACQ_vidAcqDiagVRawMeas2|E|();|FCT2.1|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Si la valeur lue n'est pas dans l'intervalle admissible on déclare une panne présente.
PWRSEN_ACQ_vidAcqDiagVRawMeas3|C|();|FCT3.1|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque le défaut sur l'ALIM 3 est détecté, on fige la valeur envoyée au reste du CMM à la  dernière valeur valide.  Aussi, lorsqu'il est confirmé on applique une valeur par défaut est calibrable à la sortie du  module d'acquisition.
PWRSEN_ACQ_vidAcqDiagVRawMeas4|B|();|FCT4.1|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Lorsque le défaut sur l'ALIM 4 est détecté, on fige la valeur envoyée au reste du CMM à la  dernière valeur valide.  Aussi, lorsqu'il est confirmé on applique une valeur par défaut est calibrable à la sortie du  module d'acquisition.
PWRSEN_ACQ_vidAcquisition1|E|();|FCT1.2|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La valeur lue sur le convertisseur est mise à l'échelle en fonction de la sortie du TLE 4471 (tension de référence  divisée par 2).
PWRSEN_ACQ_vidAcquisition2|E|();|FCT2.2|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La valeur lue sur le convertisseur est mise à l'échelle en fonction de la sortie du TLE 4471 (tension de référence  divisée par 2).
PWRSEN_ACQ_vidAcquisition3|C|();|FCT3.2|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La valeur lue sur le convertisseur est mise à l'échelle en fonction de la sortie du TLE 4471 (tension de référence  divisée par 2).
PWRSEN_ACQ_vidAcquisition4|B|();|FCT4.2|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|La valeur lue sur le convertisseur est mise à l'échelle en fonction de la sortie du TLE 4471 (tension de référence  divisée par 2).
PWRSEN_ACQ_vidAlimAc|C|();|FCT5.2|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Ces switchs servent à redistribuer les valeurs d’acquisitions de la tension d’alimentation pour chaque capteur qui nécessitent un calcul de la tension d’alimentation à une récurrence moyenne.
PWRSEN_ACQ_vidAlimAirPts|C|();|FCT5.3|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Ces switchs servent à redistribuer les valeurs d’acquisitions de la tension d’alimentation pour chaque capteur qui nécessitent un calcul de la tension d’alimentation à une récurrence moyenne.
PWRSEN_ACQ_vidAlimAps|C|();|FCT5.1|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Ces switchs servent à redistribuer les valeurs d’acquisitions de la tension d’alimentation pour chaque capteur qui nécessitent un calcul de la tension d’alimentation à une récurrence moyenne.
PWRSEN_ACQ_vidAlimPmast|C|();|FCT5.4|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Fonction qui calcule la tension d'alimentation du capteur de dépression MASTERVAC.
PWRSEN_ACQ_vidAlimSchSdlFastAcq|C|();|FCT2.9|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Attribution l’acquisition de tension d’alimentation au moniteur rapide pour son utilisation par le capteur de position papillon
PWRSEN_ACQ_vidAlimSchSdlMidAcq|C|();|FCT2.8|PWRSEN_ACQ|0|PTS_DOC_6538484||||0|0|0|0|Attribution l’acquisition de tension d’alimentation au moniteur moyen pour son utilisation par le capteur de position papillon
