Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AccP_SdlFast_StIf|C|();|SCH1.2|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
AirPres_Eve14TDC_SpgPresAcqif|D|();|SCH1.8|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evénement d'appel de tâche "quart de PMH" du CMM|
AirPres_EveRst_SpgPresAcqif|D|();|SCH1.10|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evènement_reset|
AirPres_SdlMid_SpgPresAcqif|D|();|SCH1.9|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur moyen pour la fonction AirPres|
AirSys_SdlFast_nEngGrdIf|B|();|SCH2.1|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Scheduleur rapide de l'interfaçage du module AirSys.|
AirT_EveRst_AcqAirTIfAir|D|();|SCH1.11|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evènement Reset|
AirT_SdlMid_AcqAirTIfAir|D|();|SCH1.12|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
CrkMgt_EveRst_AirTqStructMngtIf|C|();|SCH2.4|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|evènement Reset.|
Crkmgt_sdlFast_tqStructMngtIf|C|();|SCH2.5|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
Crkmgt_sdlFast_tqStructMngtIf2|C|();|SCH1.3|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
EngSt_EveRst_EngrunStIfAir|B|();|SCH2.3|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evénement reset du calculateur|
EngSt_SdlFast_EngrunStIfAir|B|();|SCH2.2|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur Rapide de la fonction EngSt|
IFAIRSYS_vidAccP|C|();|FCT1.2|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Production de l'indicateur position pédale pied levé|
IFAIRSYS_vidBoostPressure|D|();|FCT1.7|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Ce bloc contient les entrées de la chaine d’air issus de la chaine d’injection.|
IFAIRSYS_vidCrkMgt|E|();|FCT1.3|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Ce bloc contient les entrées de la chaine d’air issus de la chaine d’injection.|
IFAIRSYS_vidCrkMgt2|C|();|FCT2.4|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|cette fonction détermine l'état du gestionnaire de la section efficace du papillon.|
IFAIRSYS_vidEngSt|B|();|FCT2.2|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|cette fonction détermine l'état de fonctionnement du moteur.|
IFAIRSYS_vidEntryInit|D|();|SCH1.1|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evénement reset ECU du module d'interface|
IFAIRSYS_vidInitCrkMgt|C|();|FCT2.3|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|cette fonction détermine l'état du gestionnaire de la section efficace du papillon en démarrage.|
IFAIRSYS_vidInitFilter|B|();|FCT1.9|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Fonction d'initialisation de la sortie du filter|
IFAIRSYS_vidInitOutput|C|();|FCT1.1|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Initialisation des sorties du module IFAIRSYS.|
IFAIRSYS_vidInj|D|();|FCT1.6|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Ce bloc contient les entrées de la chaine d’air issus de la chaine d’injection.|
IFAIRSYS_vidmfAirMid2|D|();|FCT1.8|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Ce bloc initialise la temperature d'air avant papillon T2|
IFAIRSYS_vidNEngGrd|C|();|FCT2.1|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|cette fonction calcule le gradiant du régime moteur à partir de sa dérivée.|
IFAIRSYS_vidThr|D|();|FCT1.4|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Ce bloc contient les entrées de la chaine d’air issus de la chaine d’injection.|
IFAIRSYS_vidVehRun|D|();|FCT1.5|IFAIRSYS|0|PTS_DOC_5199971||||0|0|0|0|Production de l'indicateur véhicule roulant.|
Inj_EveRst_FuTiRunIf2|D|();|SCH1.7|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evènement.|
Inj_SdlFast_FuTiRunIf2|D|();|SCH1.6|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
Sync_EveRst_CkMngIfIfAir|D|();|SCH1.13|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Evénement reset du calculateur|
Thr_EveClcnServo_CorrdPosnIf2|D|();|SCH1.4|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|Moniteur de module d'interface.|
VehSpd_SdlFast_VehMngIf|D|();|SCH1.5|IFAIRSYS|1|PTS_DOC_5199971||||0|0|0|0|eve d'interface.|
