Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
GDGAR_bGetFRM|B|func_FRM_bGetFRM|.1|HEADER|1|NONE||||0|0|0|0|Get FRM Value
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|.14|HEADER|1|NONE||||0|0|0|0|fonction  GDGAR
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0|
Sync_EveCkLTo_SyncSTT|G|();|SCH.1|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement correspondant au passage de la dent longue du vilebrequin
Sync_EveCkLTo1_SyncSTT|F|();|SCH.11|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement indiquant la première détection de la singularité vilebrequin
Sync_EveCkOff_SyncSTT|E|();|SCH.2|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement correspondant à la détection de l'arrêt moteur
Sync_EveCkOn_SyncSTT|D|();|SCH.3|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement correspondant à la détection de la rotation du moteur
Sync_EveCkSnOf_SyncSTT|C|();|SCH.4|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement synchronisation perdue
Sync_EveCkTo_SyncSTT|E|();|SCH.5|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement dent vilebrequin activé si le régime est inférieur à un seuil
Sync_EveExCamEdge_SyncSTT|G|();|SCH.6|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement détection d'un front arbre à cames échappement pour la fonction  Synchro
Sync_EveInCamEdge_SyncSTT|G|();|SCH.7|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement détection d'un front arbre à cames admission pour la fonction  Synchro
Sync_EveNInvOff_SyncSTT|C|();|SCH.12|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evénement indiquant le retour à une rotation en sens avant du moteur
Sync_EveRst_SyncSTT|E|();|SCH.8|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Evènement reset du calculateur
Sync_EveSyncAccu_SyncSTT|A|();|.12|HEADER|1|NONE||||0|0|0|0|
Sync_EveSyncNotAccu_SyncSTT|A|();|.13|HEADER|1|NONE||||0|0|0|0|
Sync_EveTDC_SyncSTT|D|();|SCH.9|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Interruption PMH
Sync_SdlFast_SyncSTT|D|();|SCH.13|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Moniteur rapide de la fonction Sync
Sync_SdlMid_SyncSTT|D|();|SCH.10|SYNCSTT|1|PTS_DOC_6912870||||0|0|0|0|Moniteur moyen de la fonction Sync
SYNCSTT_vidBackUpAcv|A|();|FCT1.5|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|Il permet de générer les booléens d’activation des back-up mode vilebrequin et arbre à cames.
SYNCSTT_vidBackUpCk|A|();|FCT1.6|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|Active  la demande de passage en mode de back-up vilebrequin.
SYNCSTT_vidBackUpCm|A|();|FCT1.7|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|Active  la demande de passage en mode de back-up du signal arbre à cames.
SYNCSTT_vidChangeOfMind|C|();|FCT3.7|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|Sur l’évènement N_Inv_Off on vient vérifier si la position angulaire du moteur est connue. Si c’est le cas alors es variables de synchronisation reste à 1.
SYNCSTT_vidCkOff|E|();|FCT4.6|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|Lors de la perte de la synchronisation par le LDB,  ou lors  d’un arrêt moteur, sur l’événement Crank Off, on réinitialise les variables de synchronisation.
SYNCSTT_vidCkOn|B|();|FCT2.1|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|Fonction pour remise à zero du Sync_bDetEs
SYNCSTT_vidCnt|C|();|FCT3.3|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|On incrémente le compteur de dents vilebrequin sur l’évènement dent vilebrequin.
SYNCSTT_vidctEdgeCmExRstrt|C|();|FCT4.2|SYNCSTT|0|PTS_DOC_6912870||||0|0|0|0|A chaque détection de front AAC échappement, la fonction vérifie que la position de ce front est située à moins de Sync_agWinAgCmThLrn_C de sa position apprise.  Si c’est le cas on incrémente le compteur de fronts AAC correspondant à ce critère.
