Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0|
Sync_EveBDC_NEngClc|A|();|SCH.6|SYNCENGCLC|1|V02 NT 09 06456||||0|0|0|0|Evènement Point Mort Bas (PMB / BDC)
Sync_EveRst_NEngClc|A|();|SCH.1|SYNCENGCLC|1|V02 NT 09 06456||||0|0|0|0|Evénement reset du calculateur
Sync_EveTDC_NEngClc|B|();|SCH.4|SYNCENGCLC|1|V02 NT 09 06456||||0|0|0|0|Interruption PMH.
Sync_EveWrAdaptSpdTar_NEngClc|A|();|SCH.5|SYNCENGCLC|1|V02 NT 09 06456||||0|0|0|0|Évènement demande de mise à jour des données adaptatives cible régime suite à une requête d'écriture des outils APV.
Sync_SdlMid_NEngClc|A|();|SCH.2|SYNCENGCLC|1|V02 NT 09 06456||||0|0|0|0|Scheduler moyen de la fonction Sync.
Sync_SdlSlow_NEngClc|A|();|SCH.3|SYNCENGCLC|1|V02 NT 09 06456||||0|0|0|0|Scheduler lent de la fonction Sync.
SYNCENGCLC_vidActLearningCorr|A|();|FCT1.3|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|L’apprentissage des corrections est réalisé sur des décélérations naturelles du véhicule en coupure d’injection.
SYNCENGCLC_vidApplication|A|();|FCT3.3|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ce sous-système sélectionne et applique la correction (apprise ou non) au régime courant en fonction du numéro de cylindre en phase de combustion. De plus si le régime de ralenti est dans la zone active on applique zéro en correction.
SYNCENGCLC_vidApplicationCorr|B|();|FCT1.6|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ce sous-système effectue l’application des corrections au régime courant.
SYNCENGCLC_vidAppliCor|A|();|FCT1.10|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Cette fonction permet d'appliquer les corrections au régime courant.
SYNCENGCLC_vidAssigEngSpdArea|A|();|FCT2.2|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Détermine, en fonction des indicateurs de présence, le numéro de la plage active ainsi que le numéro du groupe de correction à saturer pour le régime recentré.
SYNCENGCLC_vidCalculAreaEngClc|A|();|FCT1.4|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|On définit 20 plages de régimes moteur contiguës calibrables (équi-réparties et bornées Sync_ThdnEngClcMax_C et Sync_ThdnEngClcMin_C).
SYNCENGCLC_vidCalculCorrection|A|();|FCT2.9|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Ce sous-système détermine les corrections par cylindre à apporter au régime courant. Ces corrections sont bornées par 5 saturations par groupe de 4 plages.
SYNCENGCLC_vidCalculCorrEngClc|C|();|FCT1.5|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Cet ensemble effectue l’apprentissage des corrections par zone et par cylindre.
SYNCENGCLC_vidCalculMean|A|();|FCT2.8|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Si le nombre d'échantillon pour la plage de régime donnée est inférieur à une valeur mini Sync_NrSampleMin_C, on ne tient alors pas en compte du calcul de la moyenne en cours.
SYNCENGCLC_vidContinuityRules|B|();|FCT3.2|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Application des règles de continuité pour les valeurs de correction.
SYNCENGCLC_vidCorrectAssignment|B|();|FCT2.10|SYNCENGCLC|0|V02 NT 09 06456||||0|0|0|0|Le principe de ce sous-système est d’affecter les corrections et le booléen d’apprentissage à leurs vecteurs correspondants.
