Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
AccP_EveRst_FLrng|C|();|SCH.1|ACCPLRNPOS|1|V02 NT 08 03749||||0|0|0|0|Fonction d'accroche à l'événement AccP_EveRst_FLrng
AccP_EveRstPed_FLrng|A|();|SCH.3|ACCPLRNPOS|1|V02 NT 08 03749||||0|0|0|0|Runnable Demande de reset apprentissage pédale accélérateur
AccP_SdlSlow_FLrng|A|();|SCH.2|ACCPLRNPOS|1|V02 NT 08 03749||||0|0|0|0|Fonction d'accroche à l'événement AccP_SdlSlow_FLrng
ACCPLRNPOS_NVMSRV_vidInit|A|();|FCT1.6|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|A la première mise sous tension, les valeurs butées haute et basse sont initialisée à des valeurs calibrable
ACCPLRNPOS_vidCalculation|A|();|FCT1.5|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Les calculs sont inhibés sur des pannes mémorisées concernant les deux capteurs de la pédale d’accélérateur.
ACCPLRNPOS_vidDvLrnFootFullDown1|B|();|FCT2.1|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Calcul des apprentissages de la position pied à fond de la pédale d’accélérateur sur le signal 1
ACCPLRNPOS_vidDvLrnFootFullDown2|B|();|FCT2.2|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Calcul des apprentissages de la position pied à fond de la pédale d’accélérateur sur le signal 2
ACCPLRNPOS_vidDvLrnFootUp1|B|();|FCT3.1|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Calcul des apprentissages de la position pied levé de la pédale d’accélérateur sur le signal 1
ACCPLRNPOS_vidDvLrnFootUp1D|B|();|FCT3.3|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage butée basse se faire par incrémentation par pas de l'ancienne valeur butée basse apprise, la butée basse prend alors la valeur minimum entre le résultat d'incrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidDvLrnFootUp1M|B|();|FCT3.4|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage de la butée basse peut se faire par decrémentation par pas ou instantanément. Le choix se fait par calibration .
ACCPLRNPOS_vidDvLrnFootUp2|B|();|FCT3.2|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Calcul des apprentissages de la position pied levé de la pédale d’accélérateur sur le signal 2
ACCPLRNPOS_vidDvLrnFootUp2D|B|();|FCT3.5|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage de la butée basse peut se faire par decrémentation par pas ou instantanément. Le choix se fait par calibration .la butée basse prend alors la valeur maximum entre le résultat de décrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidDvLrnFootUp2M|B|();|FCT3.6|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage butée basse peut se faire par incrémentation par pas de l'ancienne valeur butée basse apprise, la butée basse prend alors la valeur minimum entre le résultat de d'incrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidDvLrnFtFlDown1D|B|();|FCT2.3|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage butée haute peut se faire par décrémentation par pas de la dernière valeur butée haute apprise, la butée haute prend alors la valeur du minimum entre le résultat de décrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidDvLrnFtFlDown1M|B|();|FCT2.4|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage butée haute est faite par incrémentation par pas de la dernière valeur butée haute apprise. le choix se fait par calibration. la butée haute prend la valeur du minimum entre le résultat d'incrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidDvLrnFtFlDown2D|B|();|FCT2.5|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage butée haute peut se faire par décrémentation par pas de la dernière valeur butée haute apprise, la butée haute prend alors la valeur du minimum entre le résultat de décrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidDvLrnFtFlDown2M|B|();|FCT2.6|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|l'apprentissage butée haute est faite par incrémentation par pas de la dernière valeur butée haute apprise. Le choix se fait par calibration. La butée haute prend la valeur du minimum entre le résultat d'incrémentation et la valeur du rapport de tension.
ACCPLRNPOS_vidFreeLearningMgt|B|();|FCT1.2|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Calcul des apprentissages des positions pied levé et pied à fond de la pédale d’accélérateur sur deux signaux des capteurs haut et bas de cette dernière
ACCPLRNPOS_vidInitDiagsrv|A|();|FCT3.7|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Fonction de reset de l'apprentissage pédale accélérateur
ACCPLRNPOS_vidInitOutput|B|();|FCT1.1|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|A la première mise sous tension, les valeurs butées haute et basse sont initialisée à des valeurs calibrables (respectivement Rpli et Rpfi)
ACCPLRNPOS_vidLrnMgtDetectorHigh|B|();|FCT1.3|ACCPLRNPOS|0|V02 NT 08 03749||||0|0|0|0|Calcul des apprentissages des positions pied levé et pied à fond de la pédale d’accélérateur sur le signal du capteur haut de cette dernière
