Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AirPres_Eve14TDC_InMnfPresAcq|G|();|SCH.2|INMNFPRESACQ|1|PTS_DOC_6525158||||0|0|0|0|Fonction d'accroche moniteur à l'evenement 1/4TDC du CMM|
AirPres_EveRst_InMnfPresAcq|F|();|SCH.1|INMNFPRESACQ|1|PTS_DOC_6525158||||0|0|0|0|Fonction d'accroche moniteur à l'evenement Reset du calculateur|
AirPres_SdlMid_InMnfPresAcq|H|();|SCH.3|INMNFPRESACQ|1|PTS_DOC_6525158||||0|0|0|0|Fonction d'accroche moniteur à l'evenement Moniteur moyen|
GDGAR_bGetFRM|B|(uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0||
GDGAR_vidGdu|B|(uint16 u16IdxDft, boolean bDgo, boolean bMonRun, boolean Ns_bMonWait);|2|HEADER|1|NONE||||0|0|0|0||
INMNFPRESACQ_vidAcqPressManifld|C|();|FCT1.2|INMNFPRESACQ|1|PTS_DOC_6525158||||0|0|0|0|La tension brute renvoyée par le capteur est normalisée en fonction de la tension d’alimentation du capteur,avant d’être envoyée au LdA.|
INMNFPRESACQ_vidArbPressManifld|D|();|FCT1.6|INMNFPRESACQ|0|PTS_DOC_6525158||||0|0|0|0|En présence de défauts, la valeur de la pression collecteur n’est plus acquise mais figée à sa dernière valeur valide. Si le défaut est confirmée la pression est égale à une valeur de repli dépendant de la synchronisation du moteur.|
INMNFPRESACQ_vidDiagPressManifld|C|();|FCT1.3|INMNFPRESACQ|0|PTS_DOC_6525158||||0|0|0|0|Les diagnostics éléctriques pour les valeurs haute et basse sur signal de pression collecteur sont activés lorsque la chaîne d’acquisition est activée et si aucun défaut n’est confirmé.|
INMNFPRESACQ_vidFormPressManifld|D|();|FCT1.5|INMNFPRESACQ|0|PTS_DOC_6525158||||0|0|0|0|Un filtre, de type ordre 1 avec gain calibrable en fonction du régime, est appliquée sur la tension renvoyée par le capteur en valeur de pression collecteur.|
INMNFPRESACQ_vidInit|C|();|FCT1.1|INMNFPRESACQ|0|PTS_DOC_6525158||||0|0|0|0|Les valeurs de la pression collecteur sont initialisés à la valeur de la pression atmosphérique.|
INMNFPRESACQ_vidPresElectricDiag|C|();|FCT1.4|INMNFPRESACQ|0|PTS_DOC_6525158||||0|0|0|0|A chaque acquisition de la tensions collecteur, un diagnostic est effectué sur la validité de la nouvelle mesure, à l’aide de seuils calibrables, permettant  l’actualisation des indicateurs de défauts.|
