Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
EngSt_EveCrTR_VehSt|A|();|3|HEADER|1|NONE||||0|0|0|0||
EngSt_EveCrTSt_VehSt|A|();|5|HEADER|1|NONE||||0|0|0|0||
EngSt_EveKOn_VehSt|A|();|SCH.4|VEHST|1|PTS_DOC_5404370||||0|0|0|0|Evenement Key On|
EngSt_EveRst_VehSt|B|();|SCH.1|VEHST|1|PTS_DOC_5404370||||0|0|0|0|Fonction d'accroche à l'événement Event_reset|
EngSt_EveRTCr_VehSt|A|();|4|HEADER|1|NONE||||0|0|0|0||
EngSt_EveStTCr_VehSt|A|();|2|HEADER|1|NONE||||0|0|0|0||
EngSt_EveStTR_VehSt|A|();|SCH.5|VEHST|1|PTS_DOC_5404370||||0|0|0|0|Evènement Stall-2-Rot|
EngSt_SdlFast_VehSt|A|();|SCH.2|VEHST|1|PTS_DOC_5404370||||0|0|0|0|Focntion d'accroche au moniteur EngSt_SdlFast_VehSt|
EngSt_SdlMid_VehSt|B|();|SCH.3|VEHST|1|PTS_DOC_5404370||||0|0|0|0|Focntion d'accroche au moniteur EngSt_SdlMid_VehSt|
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0|ErrorHook routine|
VEHST_vidCompThr|C|();|FCT1.1|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Les seuils Crank_to_run_engine_rpm_low et Crank_to_run_engine_rpm_high sont calculés sur la transition Moteur_tournant, aussi en interpolant les variables : coefficient de qualité carburant et température eau sur une cartographie 2D.|
VEHST_vidInitStart|B|();|FCT1.6|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Initialisation des variables produites.|
VEHST_vidManageEngineCranking|B|();|FCT1.4|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Fonction qui permet le traitement de l'état CRANKING|
VEHST_vidManageEngineRunning|A|();|FCT1.5|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Fonction qui permet le traitement de l'état RUNNING|
VEHST_vidManageEngineStalled|B|();|FCT1.3|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Fonction qui permet le traitement de l'état STALL.|
VEHST_vidStartCondition|B|();|FCT1.7|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Ce bloc permet de déterminer si un démarrage est en cours et sert principalement à la fonction de délestage gérée par le BSI.|
VEHST_vidVehStateControl|B|();|FCT1.2|VEHST|0|PTS_DOC_5404370||||0|0|0|0|Fonction de commande de l'état véhicule|
