Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
TQESTMAX_TqSys_EveSync|E|();|SCH.2|TQESTMAX|1|PTS_DOC_5795522||||0|0|0|0|Event TqSys_EveSync|
TQESTMAX_vidActivation_Filtrage|E|();|FCT1.8|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le filtrage hors changement de rapport sera activé sous trois conditions.|
TQESTMAX_vidAcvFiltrageProc|C|();|FCT1.5|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le calcul de l’activation du filtrage du couple potentiel est divisé en trois sous-fonctions.|
TQESTMAX_vidAcvFiltrageSIP_ESP|D|();|FCT1.6|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le filtrage en changement de rapport et en intervention ASR sera activé si la consigne de couple air après intervention boite est inférieure à la consigne de couple air avant intervention BV/ESP pendant un SIP ou une régulation ASR.|
TQESTMAX_vidCalcul_cpl_pot_brut|E|();|FCT1.3|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le couple potentiel hors intervention boites et ASR est basé sur la consigne de couple après intervention EasyMove, coordonné avec les interventions MSR et auquel on ajoute les réserves.|
TQESTMAX_vidCalcul_gain_filtrage|D|();|FCT1.7|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|A l’activation de la demande de filtrage, le facteur converge vers 1 via une rampe calibrable. Lorsque les interventions BV et ESP sont terminées, le facteur converge vers 0 via une rampe calibrable.|
TQESTMAX_vidCalculCplPotDephase|F|();|FCT1.4|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le couple potentiel brut est déphasé via un retard variable fonction du régime moteur.|
TQESTMAX_vidCalculCplPotEstime|E|();|FCT1.10|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le couple max pris en compte dans la stratégie d’agrément préventif transite entre le couple max moteur courant et l’estimation de couple max avec le facteur de transition calculé dans les fonctions précédentes.|
TQESTMAX_vidCalculCplPotFiltre|F|();|FCT1.9|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Le couple potentiel déphasé est filtré en fonction du régime moteur.|
TQESTMAX_vidEntryInit|E|();|SCH.1|TQESTMAX|1|PTS_DOC_5795522||||0|0|0|0|Evenement reset ECU|
TQESTMAX_vidInitOutput|E|();|FCT1.1|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Initialisation des sorties|
TQESTMAX_vidModele_cpl_pot|E|();|FCT1.2|TQESTMAX|0|PTS_DOC_5795522||||0|0|0|0|Cette fonction réalise une estimation du couple potentiel moteur en excluant les réductions de couple demandées par les BVA/BVMP et par l’ESP.|
