Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
SftyMgt_SdlMid_tqCoVSCtl|A|();|SCH.2|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqCoVSCtl.
SftyMgt_SdlMid_tqEfcCoGBx|A|();|SCH.5|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqEfcCoGBx.
SftyMgt_SdlMid_tqEfcFilCo|A|();|SCH.3|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqEfcFilCo.
SftyMgt_SdlMid_tqEfcReqCoCha|A|();|SCH.4|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqEfcReqCoCha.
SftyMgt_SdlMid_tqIdcCoGBx|A|();|SCH.6|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqIdcCoGBx.
SftyMgt_SdlMid_tqIdcCoNReg|A|();|SCH.7|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqIdcCoNReg.
SftyMgt_SdlMid_tqIdcEngLimCo|A|();|SCH.8|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Fonction d'accroche moniteur SftyMgt_SdlMid_tqIdcEngLimCo.
TQCOMON_vidConversion_CME_CMI|A|();|FCT1.6|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction permet de convertir les labels relevés de CME en CMI par ajout des pertes totales aux couples CME.
TQCOMON_vidCoordonner_Agrement|A|();|FCT1.3|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction intègre le filtrage de l’agrément préventif. Par calibration on peut choisir l’application ou non de ce filtrage.
TQCOMON_vidCoordonner_Couple_BV|A|();|FCT1.5|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction injecte la consigne de couple des boites de vitesse pilotées dans la chaîne en couple. Une calibration permet la prise en compte ou non de la consigne boite.
TQCOMON_vidCoordonner_Couple_ESP|B|();|FCT1.4|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction est composée de deux sous fonctions: La première permet de déterminer le déclenchement d’une demande MSR. La seconde intègre les consignes de couples ESP dans la chaîne en couple.
TQCOMON_vidCoordonner_XVV|A|();|FCT1.2|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction intègre la consigne de couple RVV dans la chaîne en couple en appliquant un max entre la couple conducteur issue du bloc amont et la consigne de couple RVV.
TQCOMON_vidCoordonnerLimRalenti|A|();|FCT1.8|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction permet la prise en compte des couples de limitations safety ainsi que le couple de consigne issu de la régulation ralenti.
TQCOMON_vidCoordRelanceRegimeBV|A|();|FCT1.7|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Cette fonction assure la coordination avec le couple de régulation de régime pour la relance en régime des boites de vitesse. Par calibration, on choisi ou non de prendre en compte le couple de relance.
TQCOMON_vidEntryInit|A|();|SCH.1|TQCOMON|1|V02 NT 10 01231||||0|0|0|0|Accroche moniteur pour la fonction Reset de calculateur
TQCOMON_vidInitOutput|A|();|FCT1.1|TQCOMON|0|V02 NT 10 01231||||0|0|0|0|Fonction d'initialisation des sorties
