Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(uint16 u16Channel)boolean;|1|HEADER|1|NONE||||0|0|0|0||
InjCtl_EveCrTR_FarCtlMgr|C|();|SCH.3|INJCTL_INJFARCTLMGR|1|PTS_DOC_5147287||||0|0|0|0|Evènement de CRANKING vers RUNNING|
InjCtl_EveFbDisab_FarCtlMgr|B|();|12|HEADER|1|PTS_DOC_5147287||||0|0|0|0||
InjCtl_EveFbEnad_FarCtlMgr|B|();|3|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement d' activation de la régulation de richesse|
InjCtl_EveFbForSafEnad_FarCtlMgr|B|();|4|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement d' activation de la régulation spécifique au diag IAE|
InjCtl_EveIniClsdLoop_FarCtlMgr|B|();|5|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement d' initialisation de la régulation de richesse en boucle fermée|
InjCtl_EveIniFbClcn_FarCtlMgr|B|();|6|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement d' initialisation du calcul du  bouclage|
InjCtl_EveIniFbPrm_FarCtlMgr|B|();|7|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement d' initialisation des paramètres de bouclage|
InjCtl_EveMonrFbCdn_FarCtlMgr|B|();|10|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement de contrôle des conditions de bouclage.|
InjCtl_EveReIniFbSaf_FarCtlMgr|B|();|8|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement d' initialisation du bouclage spécifique à l' IAE|
InjCtl_EveRst_FarCtlMgr|C|();|SCH.1|INJCTL_INJFARCTLMGR|1|PTS_DOC_5147287||||0|0|0|0|Evènement de Reset du calculateur|
InjCtl_EveRstLbdFb_FarCtlMgr|B|();|9|HEADER|1|PTS_DOC_5147287||||0|0|0|0|Evènement de Reset du correcteur de richesse de la régulation de richesse|
InjCtl_EveRTSt_FarCtlMgr|C|();|SCH.2|INJCTL_INJFARCTLMGR|1|PTS_DOC_5147287||||0|0|0|0|Evénement correspondant au passage à 0 de la variable Moteur_tournant|
