Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
CrsCtl_EveRst_CrsCtlBsiTreat|E|();|SCH.1|CRSCTLBSITREAT|1|PTS_DOC_5206188||||0|0|0|0|Evènement reset de l'ECU|
CrsCtl_EveRxn50E_CrsCtlBsiTreat|E|();|SCH.2|CRSCTLBSITREAT|1|PTS_DOC_5206188||||0|0|0|0|Evènement de réception de la trame 50E|
CrsCtl_SdlSlow_CrsCtlBsiTreat|B|();|SCH.3|CRSCTLBSITREAT|1|PTS_DOC_5206188||||0|0|0|0|Moniteur lent pour la fonction xVV|
CRSCTLBSITREAT_vidBsiFraCnt|B|();|FCT1.5|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Focntion de diagnontis de cohérence du compteur de trame BSI|
CRSCTLBSITREAT_vidBsiFraFil|B|();|FCT1.8|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction permet de filtrer les informations BSI en fonction des valeurs reçues du compteur de trame BSI avant qu’elles soient traitées pour les besoins de la fonction XVV|
CRSCTLBSITREAT_vidCksCoh|B|();|FCT2.2|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction réalise la cohérence des cheksums en comparant le checksum interne (recalculé par l’ECU) à celui reçu par la trame de la BSI|
CRSCTLBSITREAT_vidCptTraBsiInc|B|();|FCT1.7|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction réalise le diagnostic sur la valeur de l’incrément du compteur de trame BSI|
CRSCTLBSITREAT_vidCptTrBsiNtZero|B|();|FCT1.6|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction réalise les diagnostics du compteur de trame BSI dans le cas où les valeurs  reçues sont différentes de zéro.|
CRSCTLBSITREAT_vidDiag_1|B|();|FCT1.3|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction qui réalise les diagnostics des cohérences des informations BSI à chaque réception de la trame 50Eh et si la LVV ou RVV est détectée présente.|
CRSCTLBSITREAT_vidDiag_2|B|();|FCT2.3|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction de diagnostic sur cohérence des informations de BVVP|
CRSCTLBSITREAT_vidDiagEna|B|();|FCT1.4|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Focntion qui décrit 5 stratégies de diagnostics de cohérence.|
CRSCTLBSITREAT_vidInfoBsiCoh|B|();|FCT1.9|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction s’assure de la cohérence des informations envoyées par la BSI.|
CRSCTLBSITREAT_vidInfoTreat|B|();|FCT2.5|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction qui traite les différentes informations.|
CRSCTLBSITREAT_vidInit|D|();|FCT1.1|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction d'initialisation des variables produites.|
CRSCTLBSITREAT_vidInitOutput|E|();|FCT1.2|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction d'initialisation.|
CRSCTLBSITREAT_vidLimSpdSpCoh|C|();|FCT1.10|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction teste la cohérence de la consigne de vitesse envoyée par la BSI dans le cas où la LVV est active et à condition que l’ensemble des informations envoyées soient cohérentes entre-elles|
CRSCTLBSITREAT_vidNVRAMmanagemnt|B|();|FCT2.4|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction qui gère l’écriture en RAM non volatile de la consigne de vitesse RVV.|
CRSCTLBSITREAT_vidOutAcvRgVSCtRq|B|();|FCT2.8|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction qui détermine le type de Régulation longitudinale du Véhicule demandée.|
CRSCTLBSITREAT_vidOutspdVehLimRq|B|();|FCT2.6|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Production de la consigne de limitation de vitesse LVV.|
CRSCTLBSITREAT_vidRegSpdSpCoh|C|();|FCT2.1|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Cette fonction teste la cohérence de la consigne de vitesse envoyée par la BSI dans le cas où la RVV est sélectionnée et à condition que l’ensemble des informations envoyées soient cohérentes entre-elles|
CRSCTLBSITREAT_vidspdVehVSRegReq|B|();|FCT2.7|CRSCTLBSITREAT|0|PTS_DOC_5206188||||0|0|0|0|Fonction qui produit la consigne vitesse RVV.|
GDGAR_bGetFRM|A|(uint16 index)boolean;|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
GDGAR_vidGdu|B|(uint16 u16IdxDft, boolean bDgo, boolean bMonRun, boolean Ns_bMonWait);|2|HEADER|1|NONE||||0|0|0|0|Gets the value of GDU states|
